id,title,year
189,The Reckless Moment,1949
190,Fail-Safe,1964
191,The Scarlet Letter,1995
193,Showgirls,1995
194,Smoke,1995
195,Something to Talk About,1995
196,Species,1995
197,The Stars Fell on Henrietta,1995
198,Strange Days,1995
199,Les parapluies de Cherbourg,1964
200,The Tie That Binds,1995
201,Three Wishes,1995
202,Total Eclipse,1995
203,"To Wong Foo Thanks for Everything, Julie Newmar",1995
204,Under Siege 2: Dark Territory,1995
205,Unstrung Heroes,1995
206,Unzipped,1995
207,A Walk in the Clouds,1995
208,Waterworld,1995
209,White Man's Burden,1995
210,Wild Bill,1995
211,The Browning Version,1951
212,Bushwhacked,1995
213,Utomlyonnye solntsem,1994
214,Before the Rain,1994
215,Before Sunrise,1995
216,Billy Madison,1995
217,The Babysitters,2007
218,Boys on the Side,1995
219,The Cure,1995
220,Castle Freak,1995
222,Circle of Friends,1995
223,Clerks.,1994
224,Don Juan DeMarco,1994
225,Disclosure,1994
226,Tucker: The Man and His Dream,1988
227,Drop Zone,1994
228,Destiny Turns on the Radio,1995
229,Death and the Maiden,1994
230,Dolores Claiborne,1995
231,Dumb & Dumber,1994
232,Yin shi nan nu,1994
233,Exotica,1994
234,Exit to Eden,1994
235,Ed Wood,1994
236,French Kiss,1995
237,Forget Paris,1995
238,Far from Home: The Adventures of Yellow Dog,1995
239,A Goofy Movie,1995
240,Hideaway,1995
241,Fluke,1995
242,Farinelli,1994
243,Flash Gordon,1980
244,Gumby: The Movie,1995
245,The Glass Shield,1994
246,Hoop Dreams,1994
247,Heavenly Creatures,1994
248,Houseguest,1995
249,Immortal Beloved,1994
250,Heavy Weights,1995
251,The Hunted,2003
252,I.Q.,1994
253,Interview with the Vampire: The Vampire Chronicles,1994
254,Jefferson in Paris,1995
255,The Jerky Boys,1995
256,Junior,1994
257,Just Cause,1995
258,A Kid in King Arthur's Court,1995
259,Kiss of Death,1995
260,Star Wars,1977
261,Little Women,1994
262,A Little Princess,1995
263,Ladybird Ladybird,1994
264,L'enfer,1994
265,Como agua para chocolate,1992
266,Legends of the Fall,1994
267,Major Payne,1995
268,Little Odessa,1994
269,Mi vida loca,1993
270,Love Affair,1994
271,Losing Isaiah,1995
272,The Madness of King George,1994
273,Frankenstein,1931
274,Man of the House,2005
275,Mixed Nuts,1994
276,Milk Money,1994
277,Miracle on 34th Street,1947
278,Miami Rhapsody,1995
279,My Family,1995
280,Murder in the First,1995
281,Nobody's Fool,1986
282,Nell,1994
283,New Jersey Drive,1995
284,Nyû Yôku no koppu,1993
285,Beyond Bedlam,1994
286,Nemesis 2: Nebula,1995
287,Nina Takes a Lover,1994
288,Natural Born Killers,1994
289,Only You,1994
290,Once Were Warriors,1994
291,Poison Ivy II,1996
292,Outbreak,1995
293,Léon,1994
294,The Perez Family,1995
295,A Pyromaniac's Love Story,1995
296,Pulp Fiction,1994
297,The Pink Panther 2,2009
298,Tui shou,1992
299,Priest,1994
300,Quiz Show,1994
301,Picture Bride,1994
302,La reine Margot,1994
303,The Quick and the Dead,1995
304,Roommates,1995
305,Prêt-à-Porter,1994
306,Trois couleurs: Rouge,1994
307,Trois couleurs: Bleu,1993
308,Trzy kolory: Bialy,1994
309,Pao Da Shuang Deng,1994
310,Rent-a-Kid,1995
312,Stuart Saves His Family,1995
313,The Swan Princess,1994
314,The Secret of Roan Inish,1994
315,The Specialist,1994
316,Stargate,1994
317,Santa Claus,1985
318,The Shawshank Redemption,1994
319,Shallow Grave,1994
320,Suture,1993
321,Fresa y chocolate,1994
322,Swimming with Sharks,1994
324,The Sum of Us,1994
325,Senior Trip,1995
326,Huozhe,1994
327,Tank Girl,1995
328,Tales from the Crypt: Demon Knight,1995
329,Star Trek: Generations,1994
330,Tales from the Hood,1995
331,Tom & Viv,1994
332,Village of the Damned,1995
333,Tommy Boy,1995
334,Vanya on 42nd Street,1994
335,Underneath,1995
336,Incubo sulla città contaminata,1980
337,What's Eating Gilbert Grape,1993
338,Virtuosity,1995
339,While You Were Sleeping,1995
340,War,2007
341,Double Happiness,1994
342,Muriel's Wedding,1994
343,The Baby-Sitters Club,1995
344,Ace Ventura: Pet Detective,1994
345,"The Adventures of Priscilla, Queen of the Desert",1994
346,Backbeat,1994
347,Bitter Moon,1992
348,Bullets Over Broadway,1994
349,Clear and Present Danger,1994
350,The Client,1994
351,"Corrina, Corrina",1994
352,Crooklyn,1994
353,The Crow,1994
354,Cobb,1994
355,The Flintstones,1994
356,Forrest Gump,1994
357,Four Weddings and a Funeral,1994
358,Higher Learning,1995
359,I Like It Like That,1994
360,I Love Trouble,1994
361,It Could Happen to You,1994
362,The Jungle Book,1967
363,Die Macht der Bilder: Leni Riefenstahl,1993
364,The Lion King,1994
365,Little Buddha,1993
366,New Nightmare,1994
367,The Mask,1994
368,Maverick,1994
369,Mrs. Parker and the Vicious Circle,1994
370,Naked Gun 33 1/3: The Final Insult,1994
371,The Paper,1994
372,Reality Bites,1994
373,Red Rock West,1993
374,Ri¢hie Ri¢h,1994
375,Safe Passage,1994
376,The River Wild,1994
377,Speed,1994
378,Speechless,1994
379,Timecop,1994
380,True Lies,1994
381,When a Man Loves a Woman,1994
382,Wolf,1994
383,Wyatt Earp,1994
384,Bad Company,2002
385,A Man of No Importance,1994
386,S.F.W.,1994
387,A Low Down Dirty Shame,1994
388,This Boy's Life,1993
389,Le colonel Chabert,1994
390,"Faster, Pussycat! Kill! Kill!",1965
391,Jason's Lyric,1994
392,The Secret Adventures of Tom Thumb,1993
393,Street Fighter,1994
394,In Cold Blood,1967
395,Desert Winds,1995
396,Fall Time,1995
397,Cape Fear,1991
398,Frank and Ollie,1995
401,Mirage,1965
402,Open Season,2006
404,Brother Minister: The Assassination of Malcolm X,1994
405,Highlander III: The Sorcerer,1994
406,Federal Hill,1994
407,In the Mouth of Madness,1995
408,8 Seconds,1994
409,Above the Rim,1994
410,Addams Family Values,1993
412,The Age of Innocence,1993
413,Airheads,1994
414,The Air Up There,1994
415,Another Stakeout,1993
416,Bad Girls,1994
417,Vicky Cristina Barcelona,2008
418,Being Human,2008
419,The Beverly Hillbillies,1993
420,Beverly Hills Cop III,1994
421,Black Beauty,1994
423,Blown Away,1994
424,Blue Chips,1994
425,Blue Sky,1994
426,Invasion of the Body Snatchers,1956
427,Boxing Helena,1993
428,A Bronx Tale,1993
429,Cabin Boy,1994
430,Calendar Girls,2003
431,Carlito's Way,1993
432,City Slickers II: The Legend of Curly's Gold,1994
433,Clean Slate,1994
434,Cliffhanger,1993
435,Coneheads,1993
436,Color of Night,1994
437,Cops and Robbersons,1994
438,The Cowboy Way,1994
440,Dave,1993
441,Dazed and Confused,1993
442,Demolition Man,1993
443,The Endless Summer 2,1994
444,Even Cowgirls Get the Blues,1993
445,Fatal Instinct,1993
446,Ba wang bie ji,1993
447,The Favor,1994
448,Huo Yuan Jia,2006
449,Fear of a Black Hat,1994
450,With Honors,1994
451,Flesh and Bone,1993
452,Widows' Peak,1994
453,For Love or Money,1993
454,The Firm,1993
455,Free Willy,1993
456,Fresh,1994
457,The Fugitive,1993
458,Geronimo: An American Legend,1993
459,A Perfect Getaway,2009
460,Getting Even with Dad,1994
461,Go Fish,1994
462,A Good Man in Africa,1994
463,Guilty as Sin,1993
464,Hard Target,1993
465,Heaven & Earth,1993
466,Hot Shots! Part Deux,1993
467,Live Nude Girls,1995
468,The Englishman Who Went Up a Hill But Came Down a Mountain,1995
469,The House of the Spirits,1993
470,House Party 3,1994
471,The Hudsucker Proxy,1994
472,I'll Do Anything,1994
473,In the Army Now,1994
474,In the Line of Fire,1993
475,In the Name of the Father,1993
476,The Inkwell,1994
477,What's Love Got to Do with It,1993
478,Jimmy Hollywood,1994
479,Judgment Night,1993
480,Jurassic Park,1993
481,Kalifornia,1993
482,Killing Zoe,1993
483,King of the Hill,1993
484,Lassie,1994
485,Last Action Hero,1993
486,Life with Mikey,1993
487,Lightning Jack,1994
488,M. Butterfly,1993
489,Made in America,1993
490,Malice,1993
491,The Man Without a Face,1993
492,Manhattan Murder Mystery,1993
493,Menace II Society,1993
494,Executive Decision,1996
495,Ai no korîda,1976
496,What Happened Was...,1994
497,Much Ado About Nothing,1993
498,Mr. Jones,1993
499,Mr. Wonderful,1993
500,Mrs. Doubtfire,1993
501,Naked,1993
502,The Next Karate Kid,1994
503,The New Age,1994
504,No Escape,1994
505,North,1994
506,Orlando,1992
507,A Perfect World,1993
508,Philadelphia,1993
509,The Piano,1993
510,Poetic Justice,1993
511,The Program,1993
512,The Puppet Masters,1994
513,Radioland Murders,1994
514,The Ref,1994
515,The Remains of the Day,1993
516,Renaissance Man,1994
517,Rising Sun,1993
518,The Road to Wellville,1994
519,RoboCop 3,1993
520,Robin Hood: Men in Tights,1993
521,Romeo Is Bleeding,1993
522,Romper Stomper,1992
523,Ruby in Paradise,1993
524,Rudy,1993
525,The Saint of Fort Washington,1993
526,Les nuits fauves,1992
527,Schindler's List,1993
528,The Last Boy Scout,1991
529,Searching for Bobby Fischer,1993
530,Second Best,2004
531,The Secret Garden,1993
532,Serial Mom,1994
533,Kagemusha,1980
534,Shadowlands,1993
535,Short Cuts,1993
536,A Simple Twist of Fate,1994
537,Sairen,2006
538,Six Degrees of Separation,1993
539,Sleepless in Seattle,1993
540,Sliver,1993
541,Blade Runner,1982
542,Son in Law,1993
543,So I Married an Axe Murderer,1993
544,Striking Distance,1993
545,Harem suaré,1999
546,Super Mario Bros.,1993
547,Surviving the Game,1994
548,Terminal Velocity,1994
549,Thirty Two Short Films About Glenn Gould,1993
550,Threesome,1994
551,The Nightmare Before Christmas,1993
552,The Three Musketeers,1993
553,Tombstone,1993
554,Law & Order: Trial by Jury,2005
555,True Romance,1993
556,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
558,The Pagemaster,1994
559,2 Days in Paris,2007
560,"The Beans of Egypt, Maine",1994
561,Killer Movie,2008
562,Welcome to the Dollhouse,1995
563,Germinal,1993
564,Chugyeogja,2008
565,Cronos,1993
566,Naked in New York,1993
567,Kika,1993
568,Bhaji on the Beach,1993
569,Little Big League,1994
570,Kådisbellan,1993
571,Wide-Eyed and Legless,1993
572,Foreign Student,1994
573,Io speriamo che me la cavo,1992
574,Spanking the Monkey,1994
575,The Little Rascals,1994
577,Andre,1994
579,La scorta,1993
580,Princess Caraboo,1994
581,The Celluloid Closet,1995
582,Métisse,1993
583,Caro diario,1993
585,The Brady Bunch Movie,1995
586,Home Alone,1990
587,Ghost,1990
588,Aladdin,1992
589,Terminator 2: Judgment Day,1991
590,Dances with Wolves,1990
591,Tough and Deadly,1995
592,Batman,1966
593,The Silence of the Lambs,1991
594,Snow White and the Seven Dwarfs,1937
595,Beauty and the Beast,1991
596,Pinocchio,1940
597,Pretty Woman,1990
598,Okno v Parizh,1994
599,The Wild Bunch,1969
600,Love and a .45,1994
602,A Great Day in Harlem,1994
603,Bye Bye Love,1995
605,One Fine Day,1996
606,Candyman: Farewell to the Flesh,1995
608,Fargo,1996
609,Homeward Bound II: Lost in San Francisco,1996
610,Heavy Metal,1981
611,Hellraiser: Bloodline,1996
612,The Pallbearer,1996
613,Jane Eyre,2006
614,Loaded,2008
615,Pane e cioccolata,1973
616,The AristoCats,1970
617,La flor de mi secreto,1995
618,Two Much,1995
619,Ed,2000
620,Cerro Torre: Schrei aus Stein,1991
621,Ma saison préférée,1993
623,A Modern Affair,1995
624,Condition Red,1995
625,Asfour Stah,1990
626,A Thin Line Between Love and Hate,1996
627,The Last Supper,1995
628,Primal Fear,1996
629,Rude Boy,1980
630,Carried Away,1996
631,All Dogs Go to Heaven 2,1996
632,Land and Freedom,1995
633,Denise Calls Up,1995
634,Theodore Rex,1995
635,A Family Thing,1996
636,Nina Frisk,2007
637,Sgt. Bilko,1996
638,Jack & Sarah,1995
639,Girl 6,1996
640,Diabolique,1996
641,Un indien dans la ville,1994
643,Peanuts - Die Bank zahlt alles,1996
645,Nelly & Monsieur Arnaud,1995
647,Courage Under Fire,1996
648,Mission: Impossible III,2006
649,Cold Fever,1995
650,Moll Flanders,1996
651,Das Superweib,1996
652,"301, 302",1995
653,DragonHeart,1996
655,Mutters Courage,1995
656,48 Hrs.,1982
658,Billy's Holiday,1995
659,Plein soleil,1960
660,August Rush,2007
661,James and the Giant Peach,1996
662,Fear,1996
663,Kids in the Hall: Brain Candy,1996
664,Faithful,1996
665,Underground,1995
666,Lust och fägring stor,1995
667,Bloodsport 2,1996
668,Pather Panchali,1955
670,Apur Sansar,1959
671,Mystery Science Theater 3000: The Movie,1996
673,Space Jam,1996
674,Barbarella,1968
678,Some Folks Call It a Sling Blade,1994
679,The Run of the Country,1995
680,"Alphaville, une étrange aventure de Lemmy Caution",1965
681,Coup de torchon,1981
682,Tigrero: A Film That Was Never Made,1994
683,L'oeil de Vichy,1993
685,It's My Party,1996
687,Country Life,1994
688,Operation Dumbo Drop,1995
690,Das Versprechen,1995
691,Mrs. Winterbourne,1996
692,Solo,1996
693,Etz Hadomim Tafus,1995
694,The Substitute,1996
695,True Crime,1999
696,Butterfly Kiss,1995
697,Feeling Minnesota,1996
698,Delta of Venus,1995
700,"Angus, Thongs and Perfect Snogging",2008
701,Daens,1992
702,Face/Off,1997
703,Boy A,2007
704,Galaxy Quest,1999
705,Così fan tutte,1992
706,Sunset Park,1996
707,Mulholland Falls,1996
708,The Truth About Cats & Dogs,1996
709,Oliver & Company,1988
710,Celtic Pride,1996
711,Flipper,1996
712,La captive,2000
713,Of Love and Shadows,1994
714,Dead Man,1995
715,Le hussard sur le toit,1995
716,The Jezebels,1975
717,Boca a boca,1995
718,Les visiteurs,1993
719,Multiplicity,1996
720,Wallace & Gromit: The Best of Aardman Animation,1996
722,The Haunted World of Edward D. Wood Jr.,1995
724,The Craft,1996
725,The Great White Hype,1996
726,Save the Last Dance,2001
727,War Stories,2003
728,Cold Comfort Farm,1995
729,"Institute Benjamenta, or This Dream People Call Human Life",1995
730,The Riches,2007
731,Heaven's Prisoners,1996
733,The Rock,1996
734,Getting Away with Murder,1996
735,Dellamorte Dellamore,1994
736,Twister,1996
737,Barb Wire,1996
738,Le garçu,1995
741,Kôkaku kidôtai,1995
742,Thinner,1996
743,Spy Hard,1996
744,Brothers in Trouble,1995
745,Wallace and Gromit in A Close Shave,1995
746,Force of Evil,1948
747,The Stupids,1996
748,The Arrival,1996
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
751,Careful,1992
753,A Month by the Lake,1995
754,Gold Diggers: The Secret of Bear Mountain,1995
755,Kim,1950
756,Carmen Miranda: Bananas Is My Business,1995
757,Dung che sai duk,1994
759,Maya Lin: A Strong Clear Vision,1994
760,Stalingrad,1993
761,Star Wars: Episode I - The Phantom Menace,1999
762,Striptease,1996
763,The Last of the High Kings,1996
764,This Is Spinal Tap,1984
765,Jack,1996
766,I Shot Andy Warhol,1996
767,The Grass Harp,1995
769,Marlene Dietrich: Shadow and Light,1996
771,La môme,2007
774,Wend Kuuni,1982
775,Histoires extraordinaires,1968
778,Trainspotting,1996
779,'Til There Was You,1997
780,Independence Day,1996
781,Stealing Beauty,1996
782,The Fan,1996
783,The Hunchback of Notre Dame,1939
784,The Cable Guy,1996
785,Kingpin,1996
786,Eraser,1996
787,The Gate of Heavenly Peace,1995
788,The Nutty Professor,1996
789,"Yo, la peor de todas",1990
791,"The Last Klezmer: Leopold Kozlowski, His Life and Music",1994
792,"Hol volt, hol nem volt",1987
793,En compagnie d'Antonin Artaud,1993
795,Somebody to Love,1994
796,A Very Natural Thing,1974
798,Daylight,1996
799,The Frighteners,1996
800,Lone Star State of Mind,2002
801,Harriet the Spy,1996
802,Phenomenon,1996
803,Walking and Talking,1996
804,She's the One,1996
805,A Time to Kill,1996
806,American Buffalo,1996
807,Les rendez-vous de Paris,1995
808,"Mystery, Alaska",1999
809,Fled,1996
810,Kazaam,1996
813,Larger Than Life,1996
814,A Boy Called Hate,1995
815,Power 98,1996
818,A Very Brady Sequel,1996
820,La mort en ce jardin,1956
821,The Crude Oasis,1995
823,La collectionneuse,1967
824,Jeder für sich und Gott gegen alle,1974
827,O Convento,1995
828,The Adventures of Pinocchio,1996
829,Joe's Apartment,1996
830,The First Wives Club,1996
831,Stonewall,1995
832,Ransom,1996
833,High School Musical 3: Senior Year,2008
834,Phat Beach,1996
835,Foxfire,1996
836,Chain Reaction,1996
837,Matilda,1996
838,Emma,1996
839,The Crow: City of Angels,1996
840,House Arrest,1996
841,Les yeux sans visage,1960
842,Bordello of Blood,1996
844,Xinghua san yue tian,1994
845,Tian guo ni zi,1994
846,Flirt,1995
847,The Big Squeeze,1996
848,The Spitfire Grill,1996
849,Escape from L.A.,1996
850,Xich lo,1995
851,Basquiat,1996
852,Tin Cup,1996
853,Evil Angels,1988
858,The Godfather,1972
860,Der bewegte Mann,1994
861,Ging chat goo si 3: Chiu kup ging chat,1992
862,Manny & Lo,1996
864,The Time Traveler's Wife,2009
865,Small Faces,1996
866,Bound,1996
867,Carpool,1996
868,Death in Brunswick,1991
869,Kansas City,1996
870,Gone Fishin',1997
872,Ai qing wan sui,1994
875,Nothing to Lose,1997
876,Chao ji ji hua,1993
877,Girls Town,1996
879,The Relic,1997
880,The Island of Dr. Moreau,1996
881,First Kid,1996
882,The Trigger Effect,1996
884,Sweet Nothing in My Ear,2008
885,Bill & Ted's Bogus Journey,1991
886,Bulletproof Monk,2003
887,Talk of Angels,1998
888,The Land Before Time III: The Time of the Great Giving,1995
889,Miami Vice,2006
891,Halloween: The Curse of Michael Myers,1995
892,Twelfth Night,1996
893,Mother Night,1996
896,Les roseaux sauvages,1994
897,For Whom the Bell Tolls,1943
898,The Philadelphia Story,1940
899,Singin' in the Rain,1952
900,An American in Paris,1951
901,Funny Face,1957
902,Breakfast at Tiffany's,1961
903,Vertigo,1958
904,Rear Window,1954
905,It Happened One Night,1934
906,Gaslight,1944
907,The Gay Divorcee,1934
908,North by Northwest,1959
909,The Apartment,1960
910,Some Like It Hot,1959
911,Charade,1963
912,Casablanca,1942
913,The Maltese Falcon,1941
914,My Fair Lady,1964
915,Sabrina,1954
916,Roman Holiday,1953
917,A Little Princess,1995
918,Meet Me in St. Louis,1944
919,The Wizard of Oz,1939
920,Gone with the Wind,1939
921,My Favorite Year,1982
922,Sunset Blvd.,1950
923,Citizen Kane,1941
924,2001: A Space Odyssey,1968
925,Golden Earrings,1947
926,All About Eve,1950
927,The Women,2008
928,Rebecca,1940
929,Foreign Correspondent,1940
930,Notorious,2009
931,Spellbound,1945
932,An Affair to Remember,1957
933,To Catch a Thief,1955
934,Father of the Bride,1991
935,The Band Wagon,1953
936,Ninotchka,1939
937,Love in the Afternoon,1957
938,Gigi,1958
939,The Reluctant Debutante,1958
940,The Adventures of Robin Hood,1938
941,The Mask of Zorro,1998
942,Laura,1944
943,The Ghost and Mrs. Muir,1947
944,Lost Horizon,1937
945,Top Hat,1935
946,To Be or Not to Be,1942
947,My Man Godfrey,1936
948,Giant,1956
949,East of Eden,1955
950,The Thin Man,1934
951,His Girl Friday,1940
952,Around the World in 80 Days,2004
953,It's a Wonderful Life,1946
954,Mr. Smith Goes to Washington,1939
955,Bringing Up Baby,1938
956,Penny Serenade,1941
957,The Scarlet Letter,1995
958,Lady of Burlesque,1943
959,Of Human Bondage,1934
960,Angel on My Shoulder,1946
961,Little Lord Fauntleroy,1936
963,The Inspector General,1949
964,Angel and the Badman,1947
965,The 39 Steps,1935
966,A Walk in the Sun,1945
967,Outlaw,2007
968,Night of the Living Dead,1968
969,The African Queen,1951
970,Beat the Devil,1953
971,Cat on a Hot Tin Roof,1958
972,The Last Time I Saw Paris,1954
973,Meet John Doe,1941
974,La battaglia di Algeri,1966
976,A Farewell to Arms,1932
980,Huang jia shi jie,1985
981,On Dangerous Ground,1952
982,Picnic,1955
983,Madagascar Skin,1995
984,The Pompatus of Love,1995
985,Small Wonder,1985
986,Fly Away Home,1996
987,Bliss,1997
988,Grace of My Heart,1996
989,Schlafes Bruder,1995
990,Maximum Risk,1996
991,Michael Collins,1996
992,The Rich Man's Wife,1996
993,Infinity,1996
994,Big Night,1996
996,Last Man Standing,1996
997,Caught,1996
998,Set It Off,1996
999,2 Days in the Valley,1996
1000,Curdled,1996
1001,The Associate,1996
1002,Ed's Next Move,1996
1003,Extreme Measures,1996
1004,The Glimmer Man,1996
1005,D3: The Mighty Ducks,1996
1006,The Chamber,1996
1007,The Apple Dumpling Gang,1975
1008,"Davy Crockett, King of the Wild Frontier",1955
1009,Escape to Witch Mountain,1975
1010,The Love Bug,1968
1011,Herbie Rides Again,1974
1012,Old Yeller,1957
1013,The Parent Trap,1998
1014,Pollyanna,1960
1015,Homeward Bound: The Incredible Journey,1993
1016,The Shaggy Dog,2006
1017,Swiss Family Robinson,1960
1018,That Darn Cat,1997
1019,20000 Leagues Under the Sea,1954
1020,Cool Runnings,1993
1021,Angels in the Outfield,1951
1022,Cinderella,1950
1023,Winnie the Pooh and the Blustery Day,1968
1024,The Three Caballeros,1944
1025,The Sword in the Stone,1963
1026,So Dear to My Heart,1948
1027,Robin Hood: Prince of Thieves,1991
1028,Mary Poppins,1964
1029,Dumbo,1941
1030,Pete's Dragon,1977
1031,Bedknobs and Broomsticks,1971
1032,Alice in Wonderland,1951
1033,The Fox and the Hound,1981
1034,Freeway,1996
1035,The Sound of Music,1965
1036,Die Hard,1988
1037,The Lawnmower Man,1992
1038,Unhook the Stars,1996
1039,Synthetic Pleasures,1995
1040,Secret Agent,1936
1041,Secrets & Lies,1996
1042,That Thing You Do!,1996
1043,To Gillian on Her 37th Birthday,1996
1044,Surviving Picasso,1996
1045,Love Is All There Is,1996
1046,Beautiful Thing,1996
1047,The Long Kiss Goodnight,1996
1049,The Ghost and the Darkness,1996
1050,Looking for Richard,1996
1051,Trees Lounge,1996
1053,Normal Life,1996
1054,Get on the Bus,1996
1055,Shadow Conspiracy,1997
1056,Jude,1996
1057,Everyone Says I Love You,1996
1058,Azúcar amarga,1996
1059,Romeo + Juliet,1996
1060,Swingers,1996
1061,Sleepers,1996
1062,The Sunchaser,1996
1063,Indiana Jones and the Last Crusade,1989
1064,Aladdin and the King of Thieves,1995
1066,Shall We Dance,2004
1067,A Damsel in Distress,1937
1068,Crossfire,1947
1069,"Murder, My Sweet",1944
1070,Macao,1952
1071,For the Moment,1993
1073,Willy Wonka & the Chocolate Factory,1971
1076,The Innocents,1961
1077,Sleeper,1973
1078,Bananas,1971
1079,A Fish Called Wanda,1988
1080,Life of Brian,1979
1081,Victor Victoria,1982
1082,The Manchurian Candidate,1962
1083,The Great Race,1965
1084,Bonnie and Clyde,1967
1085,The Old Man and the Sea,1958
1086,Dial M for Murder,1954
1087,M. Butterfly,1993
1088,Dirty Dancing,1987
1089,Reservoir Dogs,1992
1090,Platoon,1986
1091,Weekend at Bernie's,1989
1092,Basic Instinct,1992
1093,The Doors,1991
1094,The Crying Game,1992
