rtID,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore
georgia_rule,3.8,116,20,96,17,3.4,30,2,28,6,3,64056,55
kids-of-the-round-table,0,0,0,0,0,0,0,0,0,0,0,0,0
1066169-home_for_the_holidays,6,44,28,16,63,5.7,11,5,6,45,3.4,3045,69
il_postino,7.9,25,23,2,92,0,4,4,0,100,4.1,5794,92
confessional,0,1,1,0,100,0,0,0,0,0,0,0,0
indian_in_the_cupboard,6.2,19,13,6,68,0,2,1,1,50,2.7,5127,41
1101753-eye,0,0,0,0,0,0,0,0,0,0,0,0,0
mr_hollands_opus,6.7,26,19,7,73,7.5,6,5,1,83,3.5,9569,79
dont_be_a_menace,4.5,24,7,17,29,5.6,7,3,4,42,0,0,0
two_if_by_sea,3.9,27,3,24,11,0,4,0,4,0,2.6,1608,29
biodome,1.9,21,1,20,4,2,7,0,7,0,2.6,8972,51
lawnmower_man_2_jobes_war,2.8,9,1,8,11,0,3,1,2,33,2.1,952,18
two-bits,5,10,4,6,40,0,4,1,3,25,3.3,685,54
french_twist,6.1,10,5,5,50,0,4,1,3,25,3.4,597,58
nothing_funny,0,0,0,0,0,0,0,0,0,0,0,0,0
from_dusk_till_dawn,6,43,27,16,62,4.9,10,5,5,50,3.4,36073,75
1065868-fair_game,2.4,24,3,21,12,3.1,8,1,7,12,2.1,1761,16
kicking_and_screaming,5.1,137,57,80,41,5,31,12,19,38,3,14260,51
1083326-les_miserables,6.9,41,31,10,75,6.6,11,6,5,54,3.6,7310,81
bed_of_roses,5.3,14,3,11,21,5.2,5,1,4,20,3.2,3163,66
big_bully,2.8,7,0,7,0,0,2,0,2,0,2.4,1459,23
1069696-screamers,4.7,30,9,21,30,4.9,9,2,7,22,3,2070,45
nico_icon,7.1,13,11,2,84,8,5,4,1,80,4,87,85
crossing_guard,6.5,27,20,7,74,0,4,2,2,50,3.3,2170,56
juror,4.4,19,3,16,15,4.3,6,1,5,16,2.8,2266,39
white_balloon,6.8,20,16,4,80,6.6,8,6,2,75,4,547,86
things_to_do_in_denver_when_youre_dead,4.9,27,9,18,33,5.5,5,1,4,20,3.5,3197,72
antonias_line,6.5,25,16,9,64,7.8,10,9,1,90,4.2,1707,90
once-upon-a-timewhen-we-were-colored,7.3,14,10,4,71,7.9,5,5,0,100,3.7,414,76
last_summer_in_the_hamptons,5.6,15,9,6,60,0,2,2,0,100,3.3,89,47
angels_and_insects,6.5,20,14,6,70,8.1,5,5,0,100,3.3,635,62
white_squall,5.8,30,19,11,63,6.3,10,7,3,70,3.2,3184,62
dunston_checks_in,3.8,15,1,14,6,0,4,1,3,25,2.5,2935,39
black_sheep,6.4,87,61,26,70,6.3,21,15,6,71,3.2,19454,54
nick_of_time,4.6,28,8,20,28,3.8,5,0,5,0,3.1,10563,54
journey_of_august_king,6.2,7,4,3,57,0,2,1,1,50,3.1,286,54
mary_reilly,4.4,41,11,30,26,4.6,9,2,7,22,2.8,3733,41
vampire_in_brooklyn,3.6,28,3,25,10,3.1,9,0,9,0,2.4,6122,37
beautiful_girls,7,46,36,10,78,6.3,14,9,5,64,3.6,4674,79
1069241-broken_arrow,5.8,29,16,13,55,6.1,6,3,3,50,2.9,12489,51
midwinters_tale,7.3,19,17,2,89,0,3,2,1,66,4.1,309,88
hate,8,14,14,0,100,0,4,4,0,100,4.3,11987,95
going_shopping,5,29,12,17,41,5,15,5,10,33,2.8,691,37
heidi_fleiss_hollywood_madam,7.5,7,5,2,71,8.8,5,4,1,80,3,281,46
city_hall,6.1,22,12,10,54,7,6,3,3,50,3,2730,42
bottle_rocket,6.6,42,33,9,78,6.1,9,5,4,55,3.7,16217,80
mr_wrong,3.1,28,1,27,3,3.1,8,0,8,0,2.4,1544,29
unforgettable,4.4,26,6,20,23,0,4,0,4,0,3,358,36
happy_gilmore,5.5,50,29,21,58,5.1,11,4,7,36,3.7,114875,83
bridges_of_madison_county,7.2,40,36,4,90,7.9,9,9,0,100,3.6,11573,83
nobody_loves_me,6,6,4,2,66,0,1,1,0,100,4.2,161,89
muppet_treasure_island,6.1,22,15,7,68,7.4,5,4,1,80,3.2,8588,68
1065684-braveheart,7,48,37,11,77,6.7,16,12,4,75,3.8,204275,83
taxi_driver,8.7,50,49,1,98,7.7,9,8,1,88,4.1,58145,93
rumble_in_the_bronx,6.4,52,41,11,78,6.5,16,13,3,81,3.1,7517,62
1070061-before_and_after,4.8,19,6,13,31,5.7,5,2,3,40,3,1276,39
margarets_museum,6.9,6,4,2,66,0,1,1,0,100,3.7,500,76
happiness_is_in_the_field,0,0,0,0,0,0,0,0,0,0,0,0,0
anne_frank_remembered,7.8,27,26,1,96,7.6,16,15,1,93,3.7,1076,79
young_poisoners_handbook,7.1,13,11,2,84,0,3,3,0,100,3.7,541,79
if_lucy_fell,4,26,5,21,19,4.3,9,2,7,22,3.1,1202,49
steal_big_steal_little,4.5,13,2,11,15,0,3,0,3,0,2.9,555,36
race_the_sun,4.8,9,2,7,22,0,3,0,3,0,2.9,822,40
the-boys-of-st-vincent,8.2,6,6,0,100,0,1,1,0,100,3.5,401,77
1039796-boomerang,4.8,27,10,17,37,5.4,8,4,4,50,2.8,4751,55
chungking_express,7.7,27,26,1,96,6.8,7,6,1,85,4.2,11068,93
star_maker,6.5,12,9,3,75,7,5,4,1,80,3.7,543,73
flirting_with_disaster,7.4,42,36,6,85,8.5,6,6,0,100,3.3,2127,65
neverending_story_3_the_escape_from_fantasia,0,3,1,2,33,0,0,0,0,0,0,0,0
jupiters_wife,0,4,3,1,75,0,1,0,1,0,0,0,0
pie_in_the_sky,0,2,1,1,50,0,0,0,0,0,0,0,0
angelas_ashes,5.7,84,44,40,52,5.3,26,10,16,38,3.6,4588,79
frankie_starlight,5.8,6,4,2,66,0,1,1,0,100,3.8,133,61
curse_of_the_jade_scorpion,5.2,122,55,67,45,5,36,14,22,38,3.1,4108,52
sonic_outlaws,0,3,2,1,66,0,0,0,0,0,0,0,0
down_periscope,3.8,31,4,27,12,4,8,1,7,12,2.8,3851,60
from_the_journals_of_jean_seberg,7.6,9,9,0,100,0,3,3,0,100,4,30,75
man_of_the_year,4.4,141,30,111,21,5,35,11,24,31,3,29127,51
hard_target,5.2,29,14,15,48,5.6,7,4,3,57,0,0,0
up_close_and_personal,5.1,31,10,21,32,6.5,6,3,3,50,3.2,2932,63
birdcage,6.7,29,22,7,75,7.5,5,5,0,100,3.3,13502,75
brothers_mcmullen,7.1,34,31,3,91,7.8,6,6,0,100,3.2,1225,55
1062483-bad_boys,4.8,41,16,25,39,3.7,9,1,8,11,3.5,67658,79
amazing_panda_adventure,4.3,9,2,7,22,0,3,1,2,33,3,1335,46
basketball_diaries,4.9,35,15,20,42,4.7,11,3,8,27,3.5,12119,77
awfully_big_adventure,5.4,11,4,7,36,0,3,0,3,0,3.2,1433,55
the-amateurs,3.9,24,4,20,16,0,4,1,3,25,3,8865,46
apollo_13,8,51,49,2,96,7.9,11,10,1,90,3.6,30565,78
1061000-rob_roy,6.3,42,30,12,71,5.8,10,5,5,50,3.3,5253,73
basic_instinct_2,3.1,149,10,139,6,3.2,35,1,34,2,2.5,28208,33
batman_forever,5.2,54,23,31,42,5.9,14,10,4,71,2.9,47498,42
belle_de_jour,8.6,36,34,2,94,7.9,9,8,1,88,4,1378,84
beyond_rangoon,5.1,30,11,19,36,5,10,4,6,40,3.5,3962,64
blue_in_the_face,5.5,20,9,11,45,0,3,1,2,33,3.5,1323,73
canadian_bacon,3.3,14,2,12,14,0,2,0,2,0,2.9,3460,49
casper,4.7,34,14,20,41,4.5,10,3,7,30,3,20672,54
clockers,6.5,46,31,15,67,6.7,12,9,3,75,3.5,2502,74
congo,3.6,42,9,33,21,3.2,12,1,11,8,2.6,7008,34
crimson_tide,7.4,44,38,6,86,8,10,9,1,90,3.5,11550,77
crumb,8.3,39,37,2,94,0,4,4,0,100,4,2689,88
desperado,6.3,38,23,15,60,5.4,10,3,7,30,3.5,23821,79
devil_in_a_blue_dress,7.3,50,44,6,88,7,14,11,3,78,3.3,2742,64
die_hard_with_a_vengeance,5.7,42,20,22,47,5.8,10,5,5,50,3.6,61394,83
doom_generation,4.9,29,14,15,48,5.3,12,7,5,58,3.3,2680,64
feast_of_july,6.2,9,6,3,66,0,4,2,2,50,2.9,226,40
first_knight,5.2,42,19,23,45,5.5,14,7,7,50,3,13290,59
free_willy_2_the_adventure_home,4.6,12,3,9,25,0,3,1,2,33,2.8,8336,53
hackers,4.7,19,7,12,36,0,3,2,1,66,3.2,16863,66
jeffrey,6.1,23,14,9,60,5.7,9,4,5,44,3.4,836,68
johnny_mnemonic,3.3,28,4,24,14,4.7,5,1,4,20,2.5,7062,33
judge_dredd,3.6,47,7,40,14,3.7,10,0,10,0,2.5,10571,35
jury_duty,2.1,11,0,11,0,0,2,0,2,0,2.4,1843,33
kids,5,52,26,26,50,6.5,7,4,3,57,3.5,11282,78
living_in_oblivion,7.4,24,21,3,87,0,2,2,0,100,3.8,1878,85
lord_of_illusions,5.7,19,13,6,68,0,2,1,1,50,3,2344,51
love-and-human-remains,6.5,11,7,4,63,0,4,2,2,50,0,0,0
bad_love,0,0,0,0,0,0,0,0,0,0,0,0,0
mallrats,5.4,40,21,19,52,5,9,2,7,22,3.6,40221,83
mighty_morphin_power_rangers_the_movie,4.6,19,8,11,42,5.5,8,5,3,62,2.7,5904,52
moonlight_and_valentino,4.6,13,2,11,15,0,3,0,3,0,3.1,978,51
mute_witness,6.9,19,15,4,78,7.3,6,5,1,83,3.2,644,61
the-case-of-the-white-chapel-vampire-the-royal-scandal2001,0,0,0,0,0,0,0,0,0,0,0,0,0
net,5.1,33,11,22,33,6.9,5,3,2,60,2.8,10933,50
nine_months,4.3,24,6,18,25,5,5,1,4,20,2.7,8930,40
1066050-party_girl,6.3,31,24,7,77,6,13,8,5,61,3.5,1243,73
1065632-prophecy,5.2,19,8,11,42,0,1,0,1,0,3.3,5062,71
reckless_moment,0,3,3,0,100,0,0,0,0,0,0,0,0
failsafe,7.6,13,12,1,92,0,0,0,0,0,0,0,0
1066120-scarlet_letter,3,33,5,28,15,3.6,11,1,10,9,2.9,3493,48
showgirls,2.9,41,5,36,12,3.4,10,0,10,0,2.3,7443,35
1062983-smoke,7.8,27,25,2,92,0,4,3,1,75,3.9,3101,88
something_to_talk_about,5.3,27,10,17,37,6.5,9,5,4,55,3,6137,55
species,4.9,31,12,19,38,5.1,5,1,4,20,2.7,6716,37
stars_fell_on_henrietta,4.9,7,2,5,28,0,1,0,1,0,3,66,18
strange_days,6,38,23,15,60,5.9,8,4,4,50,3.3,7016,70
umbrellas_of_cherbourg,8.6,45,44,1,97,7.9,10,9,1,90,4.1,3199,86
tie_that_binds,2.8,9,1,8,11,0,3,0,3,0,3,286,34
three_wishes,4.4,15,2,13,13,0,4,0,4,0,3,1249,52
total_eclipse,4.9,16,4,12,25,0,4,1,3,25,3.4,2222,63
to_wong_foo_thanks_for_everything_julie_newmar,5,23,8,15,34,5.2,5,0,5,0,3.1,6833,69
under_siege_2_dark_territory,4.5,29,10,19,34,0,3,2,1,66,2.6,5213,47
unstrung_heroes,6.3,21,16,5,76,0,4,2,2,50,3.2,530,54
unzipped,6.7,13,10,3,76,7.9,5,5,0,100,3.3,64,67
walk_in_the_clouds,5.5,22,9,13,40,0,3,1,2,33,3.3,12692,74
waterworld,5.1,48,20,28,41,6.4,9,7,2,77,2.6,18023,46
1067214-white_mans_burden,4.5,32,8,24,25,4.4,10,1,9,10,2.8,1275,38
1043923-browning_version,7.8,17,15,2,88,0,3,1,2,33,4.3,270,94
bushwhacked,2.1,9,0,9,0,0,2,0,2,0,2.6,1388,38
burnt_by_the_sun,7,13,10,3,76,0,4,3,1,75,4.3,1533,93
before_the_rain,7.5,12,10,2,83,0,2,2,0,100,4.4,1683,93
before_sunrise,8.2,34,34,0,100,9.3,5,5,0,100,4.1,20616,92
billy_madison,4.8,35,15,20,42,0,4,1,3,25,3.5,91595,79
babysitters,4.4,26,8,18,30,4.6,12,3,9,25,2.9,1237,35
boys_on_the_side,6,32,23,9,71,6.1,8,5,3,62,3.1,4572,65
1061860-cure,5.5,10,4,6,40,0,4,1,3,25,3.7,2207,79
castle_freak,5.4,7,4,3,57,0,0,0,0,0,0,0,0
1059480-circle_of_friends,6.5,35,27,8,77,6.5,11,8,3,72,3.3,3292,65
clerks,7.4,48,42,6,87,7.1,9,8,1,88,3.8,57642,89
don-juan-demarco,5.8,22,16,6,72,0,2,1,1,50,3.3,14169,70
disclosure,5.7,40,24,16,60,5.8,9,5,4,55,2.8,3648,41
tucker_the_man_and_his_dream,7.2,35,30,5,85,6.8,7,5,2,71,3.2,1497,58
drop_zone,4.1,19,6,13,31,0,3,1,2,33,2.7,2485,36
destiny_turns_on_the_radio,2.7,15,2,13,13,0,2,0,2,0,2.6,446,27
death_and_the_maiden,7,48,40,8,83,6.2,10,7,3,70,3.6,1972,76
dolores_claiborne,6.8,33,28,5,84,0,4,3,1,75,3.4,4632,75
dumb_and_dumber,5.8,45,28,17,62,4.8,10,4,6,40,3.3,95871,79
eat_drink_man_woman,7.4,31,29,2,93,7.9,8,8,0,100,4,3802,91
exotica,8.3,27,26,1,96,0,3,3,0,100,3.7,1837,81
exit_to_eden,2.4,15,1,14,6,0,3,0,3,0,2.3,1694,27
ed_wood,7.9,57,52,5,91,7.2,12,9,3,75,3.7,28216,83
french_kiss,5.7,21,10,11,47,0,4,1,3,25,3.2,11010,70
forget_paris,5.4,33,17,16,51,4.7,8,2,6,25,3,2108,51
far_from_home_the_adventures_of_yellow_dog,5.2,6,3,3,50,0,0,0,0,0,0,0,0
goofy_movie,5.7,14,8,6,57,0,2,1,1,50,3.1,17024,57
1060518-hideaway,3.5,12,2,10,16,0,4,1,3,25,2.8,1077,41
fluke,4,9,3,6,33,0,3,0,3,0,3.4,1598,70
farinelli,5.7,21,14,7,66,4.7,6,2,4,33,3.8,1092,81
1007517-flash_gordon,6.3,32,26,6,81,0,3,2,1,66,3.1,6492,64
gumby_the_movie,0,4,0,4,0,0,0,0,0,0,0,0,0
glass_shield,5.6,21,13,8,61,5.2,7,3,4,42,3,263,41
hoop_dreams,8.5,44,43,1,97,8.1,12,12,0,100,4.1,3243,92
heavenly_creatures,8.3,41,39,2,95,7.8,9,9,0,100,3.7,8208,82
houseguest,3.4,20,3,17,15,5.2,5,3,2,60,2.8,1745,51
immortal_beloved,6,30,17,13,56,0,3,2,1,66,3.8,4786,87
1059860-heavyweights,4.1,5,1,4,20,0,0,0,0,0,0,0,0
1120843-hunted,4.7,143,44,99,30,4.5,34,10,24,29,3,5362,51
iq,5.1,21,9,12,42,0,3,1,2,33,2.8,3758,46
interview_with_the_vampire,5.8,45,26,19,57,4.6,10,4,6,40,3.7,77706,85
jefferson_in_paris,4.9,14,5,9,35,0,3,1,2,33,2.8,404,27
jerky_boys_the_the_movie,1.6,10,1,9,10,0,0,0,0,0,0,0,0
1058426-junior,4.7,30,10,20,33,5.8,8,5,3,62,2.4,9754,28
just_cause,4,26,6,20,23,4.2,8,2,6,25,3.1,2888,51
kid_in_king_arthurs_court,3.2,6,0,6,0,0,0,0,0,0,0,0,0
1060720-kiss_of_death,6.4,36,24,12,66,7.2,12,9,3,75,2.9,2125,39
star_wars,8.2,64,60,4,93,7.4,17,15,2,88,4.1,147448,93
1190049-little_women,0,0,0,0,0,0,0,0,0,0,0,0,0
1061812-little_princess,8.4,20,19,1,95,0,3,3,0,100,3.4,13643,81
ladybird_ladybird,7.2,6,4,2,66,0,2,2,0,100,4,368,87
1059177-lenfer,7.9,8,8,0,100,0,1,1,0,100,3.5,421,67
like_water_for_chocolate,7.6,28,25,3,89,0,3,3,0,100,3.9,5713,86
chris-smither-one-more-night2007,0,0,0,0,0,0,0,0,0,0,0,0,0
major_payne,4.6,10,3,7,30,0,2,1,1,50,2.9,8555,69
little_odessa,5.8,17,11,6,64,0,3,1,2,33,3.5,985,69
mi_vida_loca_my_crazy_life,6.6,15,12,3,80,0,3,2,1,66,3.9,2251,81
1056341-love_affair,4.8,26,8,18,30,0,3,1,2,33,3.5,1260,71
losing_isaiah,5.1,28,12,16,42,5,9,4,5,44,3.6,2364,76
madness_of_king_george,7.8,42,39,3,92,8.1,10,10,0,100,3.6,1886,76
1007818-frankenstein,8.5,38,38,0,100,7.8,5,5,0,100,3.6,7211,81
man_of_the_house,3.3,60,5,55,8,3.9,16,4,12,25,3.1,10877,59
mixed_nuts,2.8,28,2,26,7,2.5,6,0,6,0,2.9,2410,46
1055255-milk_money,2.6,25,1,24,4,2.5,8,0,8,0,2.7,2126,40
1013970-miracle_on_34th_street,8,31,29,2,93,0,2,2,0,100,3.5,5409,81
miami_rhapsody,6.1,18,8,10,44,0,3,2,1,66,2.6,766,28
my_family,7.2,11,9,2,81,0,3,3,0,100,3.9,1137,85
murder_in_the_first,5.5,34,17,17,50,4.8,10,4,6,40,3.5,3888,78
1015224-nobodys_fool,0,4,0,4,0,0,1,0,1,0,3,289,43
nell,5,31,16,15,51,0,3,3,0,100,3.1,5373,63
new_jersey_drive,6.5,7,4,3,57,0,3,2,1,66,3.8,814,81
new_york_cop,0,0,0,0,0,0,0,0,0,0,0,0,0
nightscare,0,1,0,1,0,0,0,0,0,0,0,0,0
nemesis_2,0,0,0,0,0,0,0,0,0,0,0,0,0
nina_takes_a_lover,5.2,6,3,3,50,0,2,0,2,0,3.4,125,52
natural_born_killers,6,29,15,14,51,5.9,7,3,4,42,3.5,39062,80
1055875-only_you,5.5,22,11,11,50,0,3,1,2,33,3.3,4388,69
once_were_warriors,7.7,31,29,2,93,7.4,8,7,1,87,0,0,0
poison_ivy_2_lily,3.8,6,1,5,16,0,0,0,0,0,0,0,0
outbreak,5.6,41,24,17,58,5.1,10,4,6,40,3.1,10732,55
professional,6.8,39,30,9,76,5.8,8,4,4,50,4.1,59011,94
perez_family,6.3,15,10,5,66,5.9,5,2,3,40,3.2,500,50
pyromaniacs_love_story,3.4,9,0,9,0,0,2,0,2,0,3.1,773,44
pulp_fiction,8.9,50,47,3,94,8.4,14,13,1,92,4.2,249269,95
pink_panther_2,3.5,128,16,112,12,3.9,25,4,21,16,3.1,77879,48
pushing_hands,0,2,2,0,100,0,0,0,0,0,0,0,0
1063814-1063814-priest,7.2,19,13,6,68,0,4,3,1,75,3.8,1042,81
quiz_show,8.1,50,48,2,96,8.2,12,12,0,100,3.5,5428,79
picture_bride,6.8,10,8,2,80,0,3,3,0,100,3.7,324,77
queen_margot,5.9,22,17,5,77,0,2,1,1,50,4,2511,86
1059629-quick_and_the_dead,5.9,39,22,17,56,4.2,8,1,7,12,3.1,12178,56
roommates,5.1,13,4,9,30,0,2,0,2,0,3.2,387,51
ready_to_wear,4.8,21,6,15,28,4.3,5,0,5,0,2.5,1885,26
1058966-red,8.5,40,40,0,100,8.2,10,10,0,100,4.2,9557,94
1049109-blue,8.4,32,32,0,100,8,5,5,0,100,4.2,11731,93
white,7.5,31,28,3,90,7.6,9,9,0,100,3.9,5105,86
red_firecracker_green_firecracker,0,4,3,1,75,0,1,0,1,0,4.6,71,100
rentakid,0,0,0,0,0,0,0,0,0,0,0,0,0
stuart_saves_his_family,4.6,25,7,18,28,5.2,10,3,7,30,2.6,531,44
swan_princess,5.3,9,4,5,44,0,3,2,1,66,3.1,5951,66
the-secret-of-roan-inish,7.8,40,39,1,97,7.5,12,11,1,91,3.9,1439,86
1056079-specialist,3.1,24,1,23,4,3.8,5,0,5,0,2.5,5147,34
stargate,5.2,37,17,20,45,0,4,1,3,25,3.3,23611,75
santa_claus_the_movie,4.1,17,3,14,17,0,1,0,1,0,3.1,2513,66
shawshank_redemption,8,57,50,7,87,7.9,11,10,1,90,4.4,168839,98
1058923-shallow_grave,6.4,42,30,12,71,5.4,10,5,5,50,3.6,9041,81
suture,6.2,11,7,4,63,0,3,0,3,0,3.6,236,74
strawberry_and_chocolate,6.6,19,15,4,78,0,2,2,0,100,3.9,848,83
swimming_with_sharks,6.3,33,25,8,75,5.4,10,5,5,50,3.6,2888,78
sum_of_us,6.5,13,9,4,69,0,2,1,1,50,3.6,1056,74
national_lampoons_senior_trip,2.6,7,0,7,0,0,1,0,1,0,3,1370,53
huozhe-to-live-lifetimes-living,8.1,14,12,2,85,0,3,3,0,100,4.3,1836,95
tank_girl,4.9,33,14,19,42,5.3,9,4,5,44,2.8,7013,61
tales_from_the_crypt_presents_demon_knight,4,23,7,16,30,3.4,7,1,6,14,3.2,4989,63
star_trek_generations,5.5,44,20,24,45,6.4,9,6,3,66,3.3,15342,62
tales_from_the_hood,4.3,15,5,10,33,0,2,1,1,50,3.1,2119,58
tom_and_viv,4.8,11,4,7,36,0,2,1,1,50,3.4,351,59
1061401-village_of_the_damned,4,30,9,21,30,4.2,5,2,3,40,2.7,4194,36
tommy_boy,5.2,38,17,21,44,3.6,6,1,5,16,3.6,34476,89
vanya_on_42nd_street,7.6,32,28,4,87,7.7,9,8,1,88,3.7,466,73
underneath,5.7,19,10,9,52,5.8,8,3,5,37,3,405,36
nightmare_city,0,4,2,2,50,0,0,0,0,0,0,0,0
whats_eating_gilbert_grape,7.3,42,37,5,88,5.8,9,6,3,66,3.7,57512,86
virtuosity,4.3,29,10,19,34,4,8,2,6,25,2.8,4167,37
while_you_were_sleeping,6.5,41,35,6,85,6.5,13,11,2,84,3.2,25923,75
the-secret-war,0,0,0,0,0,0,0,0,0,0,0,0,0
double_happiness,7,10,7,3,70,0,2,2,0,100,3.4,627,61
muriels_wedding,7.1,32,29,3,90,0,4,4,0,100,3.4,8356,78
babysitters_club_the_movie,6,15,9,6,60,6.1,7,3,4,42,2.9,1930,46
ace_ventura_pet_detective,4.6,37,18,19,48,0,2,0,2,0,3.1,163811,57
adventures_of_priscilla_queen_of_the_desert,7,29,27,2,93,7,6,5,1,83,3.7,8695,84
backbeat,6.2,34,25,9,73,6.5,9,6,3,66,3.3,926,67
bitter-moon,6.2,29,19,10,65,4.7,8,3,5,37,3.8,3436,79
bullets_over_broadway,7.9,54,52,2,96,8.2,12,12,0,100,3.6,3913,79
clear_and_present_danger,6.8,37,29,8,78,7.1,9,7,2,77,3.3,11095,69
client,6.1,35,28,7,80,6.2,7,5,2,71,3.3,7408,67
corrina_corrina,5.2,16,6,10,37,0,3,0,3,0,3.1,4265,65
crooklyn,6.6,24,18,6,75,6.8,7,6,1,85,4.1,3115,87
crow,7,40,33,7,82,6.9,8,6,2,75,3.8,64467,87
cobb,6.2,32,21,11,65,5.2,8,4,4,50,3.2,875,57
1051663-flintstones,3.7,40,8,32,20,4.5,7,2,5,28,2.5,11823,35
forrest_gump,6.9,53,37,16,69,7,13,9,4,69,4.1,205253,93
four_weddings_and_a_funeral,7.5,49,47,2,95,7.3,9,8,1,88,3.2,21524,68
higher_learning,5.3,34,17,17,50,4.6,11,4,7,36,3.5,4026,77
i_like_it_like_that,7.4,9,7,2,77,0,3,3,0,100,4,625,85
1054344-it_could_happen_to_you,6.2,34,23,11,67,6.2,8,6,2,75,3,6180,53
