libro,usuario,puntuacion,svd,knn
la-isla-de-las-mil-fuentes,22,8.0,8.14,7.71
ojos-de-agua,28,6.0,5.89,6.8
el-lector-de-cadaveres,155,7.0,7.27,7.14
la-legion-perdida-el-sueno-de-trajano,96,9.0,9.31,8.6
caballo-de-troya-4-nazaret,137,8.0,7.99,7.3
el-libro-de-los-baltimore,30,8.0,8.26,8.15
carta-de-una-desconocida-leporella,276,10.0,9.46,7.22
harry-potter-y-el-misterio-del-principe,143,9.0,8.99,8.06
la-piel-del-tambor,253,5.0,5.58,7.39
la-huella-de-un-beso,154,4.0,4.4,7.18
fuente-ovejuna,102,6.0,6.02,5.95
en-un-rincon-del-alma,122,6.0,6.05,7.06
el-corazon-del-tartaro,4,7.0,6.97,6.57
la-princesa-de-hielo,880,4.0,4.07,4.26
aniquilacion-southern-reach-1,58,2.0,2.83,6.79
la-dama-azul,169,5.0,5.26,4.98
leyendas-2,68,7.0,6.84,6.49
entre-dos-aguas,13,8.0,7.84,5.21
el-senor-de-los-anillos-i-la-comunidad-del-anillo,212,6.0,6.19,6.16
suenan-los-androides-con-ovejas-electricas-1,0,8.0,7.97,7.34
el-lejano-pais-de-los-estanques,209,7.0,6.57,6.35
la-sombra-del-cipres-es-alargada,169,8.0,7.69,6.38
nada,292,6.0,6.65,8.16
el-diario-de-ana-frank,248,6.0,6.02,5.93
la-calle-de-los-suenos,145,9.0,8.68,6.86
lugares-oscuros,44,6.0,5.96,6.73
la-soledad-de-los-numeros-primos,276,6.0,6.0,6.25
el-mentiroso-3,100,7.0,6.92,6.44
algo-habran-hecho,255,9.0,8.7,6.21
dracula,179,9.0,8.87,7.36
patria,309,8.0,8.11,8.59
brevisima-historia-del-tiempo,130,4.0,4.75,6.77
la-lluvia-amarilla,131,10.0,9.92,9.55
el-hombre-que-confundio-a-su-mujer-con-un-sombrero,92,6.0,6.05,6.82
posesion-1,1979,8.0,8.2,9.0
el-secreto-de-christine,212,5.0,5.18,6.13
temporada-de-avispas,177,6.0,6.18,7.65
la-ciudad-del-horizonte,230,8.0,7.87,7.65
don-quijote-de-la-mancha,2004,8.0,8.06,9.05
las-huellas-imborrables,235,8.0,7.87,7.92
homenaje-a-cataluna,380,7.0,7.57,7.66
el-resplandor,1195,10.0,9.99,9.4
padre-rico-padre-pobre-que-les-ensenan-los-ricos-a-sus-hijos-acerca-del-dinero-que-los-pobres-y-la-clase-media-no,285,10.0,8.76,7.95
hasta-el-fin-de-tus-dias,263,8.0,7.66,7.83
hasta-que-el-viento-te-devuelva-la-sonrisa,122,7.0,6.99,7.14
vida-de-pi,18,8.0,7.86,7.16
la-metamorfosis,183,5.0,5.7,6.63
indomable-diario-de-una-chica-en-llamas,173,4.0,4.2,7.3
ciudad-de-cristal-novela-grafica,144,7.0,6.9,7.19
x-representa-lo-desconocido,88,5.0,5.54,7.25
el-silencio-de-los-claustros,2376,6.0,6.51,7.15
caballo-de-troya-1-jerusalen,91,7.0,7.36,7.79
la-casa-de-los-encuentros,201,7.0,7.07,7.26
el-mal-camino-1,44,7.0,7.25,7.29
pideme-lo-que-quieras,151,8.0,7.89,6.98
cien-anos-de-soledad,220,8.0,8.09,8.01
la-letra-escarlata,258,8.0,7.77,7.61
el-viejo-y-el-mar,372,10.0,10.0,8.05
tiempo-de-silencio,284,6.0,6.04,5.72
sinuhe-el-egipcio,216,9.0,8.9,7.78
christine,145,5.0,5.48,6.51
nunca-pasa-nada,151,6.0,6.05,6.81
las-cuatro-estaciones-i-primavera-y-verano,273,7.0,7.38,7.8
nocturna-trilogia-de-la-oscuridad-i,102,5.0,5.22,6.8
veinticuatro-horas-en-la-vida-de-una-mujer,97,5.0,5.91,7.63
la-casa-veneciana,154,6.0,6.15,7.18
un-saco-de-huesos,264,7.0,6.77,6.76
la-desaparicion-de-stephanie-mailer,3,6.0,6.32,7.74
harry-potter-y-el-misterio-del-principe,64,8.0,8.05,7.89
la-isla-bajo-el-mar,29,4.0,4.58,7.58
lobos,200,8.0,7.48,6.86
la-conspiracion,26,6.0,5.66,4.64
el-hijo-de-la-vid,22,8.0,7.95,7.71
nacidos-para-incordiarse-un-siglo-de-agravios-entre-el-madrid-y-el-bara,62,6.0,6.12,6.97
memoria-de-mis-putas-tristes,60,7.0,6.38,6.19
los-ladrones-del-cielo,221,6.0,6.31,6.87
la-isla-del-tesoro,137,4.0,4.78,7.26
el-psicoanalista,275,8.0,7.56,6.86
el-ocho,68,6.0,6.01,6.29
recuerdos-del-futuro-2,133,8.0,8.2,9.11
el-bar-de-las-grandes-esperanzas,216,6.0,6.17,7.01
carrie,77,8.0,8.03,7.5
jaque-al-psicoanalista,353,7.0,6.64,6.06
las-manzanas,346,6.0,6.37,7.95
el-viajero,1576,1.0,2.31,2.5
ni-siquiera-los-perros,267,6.0,6.06,6.31
el-nombre-de-la-rosa,497,6.0,6.09,5.92
el-caballero-de-la-armadura-oxidada,1316,10.0,9.54,8.88
a-que-esperan-los-monos,115,7.0,7.23,7.83
de-amor-y-de-sombra,65,6.0,5.76,6.15
el-silencio-de-la-ciudad-blanca-trilogia-de-la-ciudad-blanca-1,214,8.0,8.14,7.22
la-ley-de-los-justos,98,8.0,7.9,7.67
las-cuatro-estaciones-i-primavera-y-verano,28,8.0,7.99,7.13
la-velocidad-de-la-luz,2466,10.0,9.23,9.58
papa-goriot,85,7.0,7.22,6.76
leviatan,138,7.0,6.92,7.24
todo-lo-que-muere,45,7.0,6.93,6.68
la-hora-de-quevedo,752,4.0,5.2,7.33
los-asesinos-del-emperador,62,10.0,9.38,8.42
pildoras-azules,1737,8.0,7.63,8.0
la-reina-en-el-palacio-de-las-corrientes-de-aire-millennium-iii,1,8.0,8.16,8.79
castigo,309,8.0,7.72,7.5
la-larga-marcha,268,9.0,8.7,7.52
el-principito,170,9.0,8.43,9.47
la-estrella-de-la-guarda,4,6.0,6.04,6.57
circo-maximo-la-ira-de-trajano,168,8.0,8.21,8.21
v-de-vendetta,260,10.0,9.89,8.96
los-ultimos-dias-de-nuestros-padres,111,9.0,8.6,7.11
el-heroe-de-las-eras-nacidos-de-la-bruma-3,2067,8.0,8.37,8.26
una-jaula-de-oro-1,722,9.0,8.99,8.12
un-mundo-feliz,1310,3.0,3.4,3.3
el-buho,242,7.0,7.07,6.94
hija-de-la-fortuna,297,9.0,8.52,8.93
la-reina-sin-espejo,143,7.0,7.06,7.06
el-director-secretos-e-intrigas-de-la-prensa-narrados-por-el-exdirector-de-el-mundo,6,9.0,8.28,7.1
el-ritual,88,4.0,4.65,7.25
la-casa-de-las-miniaturas,257,8.0,7.93,6.51
mujeres-alteradas-1,88,7.0,7.05,7.25
cola,167,10.0,9.73,7.6
trafalgar-1,102,9.0,8.74,7.68
el-murmullo-de-las-abejas,52,9.0,8.81,7.49
el-bosque,158,7.0,7.01,7.74
la-humillacion,88,6.0,6.25,7.25
atomka,228,6.0,6.47,7.16
tension-sexual-entre-tu-y-yo,151,5.0,5.42,6.81
luna-caliente,2965,10.0,8.98,10.0
demian,153,6.0,6.12,7.35
mi-familia-y-otros-animales,128,9.0,8.83,7.48
tren-nocturno,13,8.0,7.86,5.21
la-mujer-del-pelo-rojo,1308,9.0,8.57,9.23
botas-de-lluvia-suecas,408,6.0,5.93,5.74
rebelion-en-la-granja,1148,9.0,8.91,10.0
del-otro-lado,1058,9.0,8.45,9.15
un-asunto-demasiado-familiar,13,4.0,4.06,5.21
pachinko,158,9.0,8.82,8.22
cancion-de-cuna-de-auschwitz,88,6.0,6.11,7.25
todo-manolito,203,7.0,7.17,7.08
al-otro-lado-del-rio-y-entre-los-arboles,4,5.0,5.14,6.57
la-celestina-comedia-o-tragicomedia-de-calisto-y-melibea,292,7.0,6.95,7.42
estudio-en-escarlata,301,5.0,5.28,6.43
luces-de-bohemia,168,8.0,8.03,6.53
nemesis-un-crimen-dormido,92,7.0,7.12,6.82
persepolis,61,8.0,8.0,7.22
el-ojo-del-cielo,20,7.0,7.02,6.82
los-hombres-que-no-amaban-a-las-mujeres-millennium-i,738,6.0,6.21,7.43
la-vida-negociable,260,9.0,8.93,8.6
el-invierno-del-mundo-the-century-2,108,9.0,8.99,7.93
purga,487,9.0,8.66,8.87
la-sagafuga-de-j-b,253,8.0,7.96,7.88
todo-lo-que-podriamos-haber-sido-tu-y-yo-si-no-fueramos-tu-y-yo,173,7.0,6.88,7.3
cien-anos-de-soledad,40,10.0,9.85,10.0
el-nombre-de-la-rosa,452,10.0,9.9,9.67
retratos-gatunos,273,9.0,8.67,7.79
un-millon-de-gotas,151,8.0,7.8,7.38
la-trilogia-de-nueva-york,2956,4.0,4.56,3.47
para-escribir-una-novela,32,6.0,6.26,7.44
un-mundo-sin-fin-los-pilares-de-la-tierra-2,303,8.0,8.5,7.66
ensayo-sobre-la-ceguera,464,10.0,9.88,10.0
sinuhe-el-egipcio,117,5.0,5.25,7.25
la-cara-norte-del-corazon,216,8.0,8.16,7.5
humillados-y-ofendidos,4,9.0,8.77,6.57
armadillo,204,3.0,3.33,6.39
dora-bruder,274,9.0,8.56,7.78
los-hombres-que-no-amaban-a-las-mujeres-millennium-i,32,8.0,8.08,7.89
orilla-intranquila,62,5.0,5.29,6.97
la-compania-de-la-muerte,98,2.0,2.25,6.74
el-francotirador-paciente,3218,7.0,6.8,6.54
yo-robot,179,7.0,6.77,7.26
la-metamorfosis,37,7.0,6.82,7.52
confesion-mi-hombre-3,1187,6.0,6.22,6.2
pequenas-mentirosas,296,6.0,5.95,7.0
el-mundo-amarillo,130,6.0,6.08,5.55
sur,45,10.0,9.75,7.0
viaje-con-clara-por-alemania,133,9.0,8.89,9.11
la-casa-de-los-espiritus,162,8.0,8.19,8.07
el-senor-de-los-anillos-i-la-comunidad-del-anillo,377,8.0,8.15,8.0
cronica-del-rey-pasmado,284,7.0,7.1,6.32
la-ciudad-de-la-lluvia,44,7.0,7.26,7.72
la-guerra-de-sucesion,227,7.0,6.87,6.86
siete-dias-de-julio,161,8.0,7.99,8.07
el-ultimo-trayecto-de-horacio-dos,41,6.0,6.07,6.83
mama,201,8.0,7.93,7.26
tormenta-de-espadas-cancion-de-hielo-y-fuego-3,21,9.0,8.98,7.35
atrapada-en-el-tiempo,374,6.0,6.63,7.51
el-zorro,44,7.0,6.88,6.73
el-poder-del-perro,304,7.0,7.08,7.14
la-elegida-la-seleccion-3,226,10.0,9.79,8.87
v-de-vendetta,2308,8.0,7.89,6.75
la-mancha-humana,45,5.0,5.2,7.0
por-siempre-mia,44,7.0,6.82,6.55
los-hijos-de-adan-la-saga-de-los-longevos-ii,302,8.0,7.91,6.9
la-alargada-sombra-del-amor,271,8.0,7.91,6.5
el-rumor-de-la-montana,138,8.0,7.64,6.51
el-pendulo-de-foucault,253,5.0,5.72,6.68
el-ardor-de-la-sangre,114,9.0,9.12,9.02
las-chicas-de-negro,305,6.0,6.16,7.04
falso-nueve-1,35,7.0,7.13,7.56
sentido-y-sensibilidad,271,4.0,4.24,6.33
loba-negra,130,8.0,7.86,7.11
el-resplandor,1274,7.0,7.26,7.9
el-pasajero-23,77,9.0,8.97,7.79
queremos-tanto-a-glenda,204,8.0,7.83,6.39
visitante-del-espacio,179,7.0,6.96,6.88
veinte-mil-20000-leguas-de-viaje-submarino-1,169,8.0,7.74,6.79
en-llamas-los-juegos-del-hambre-2,228,8.0,7.91,7.07
el-cazador-de-suenos,268,7.0,7.1,6.85
todo-ese-fuego,373,8.0,7.58,7.58
hola-te-acuerdas-de-mi,13,6.0,6.01,5.21
harry-potter-y-la-camara-secreta,271,8.0,7.78,6.95
cujo,22,7.0,7.21,7.19
la-oracion-del-crepusculo,44,6.0,6.34,6.73
los-hombres-que-no-amaban-a-las-mujeres-millennium-i,3039,8.0,7.86,7.69
macbeth,257,5.0,5.25,7.17
de-ratones-y-hombres,265,9.0,8.92,8.74
aguacero,312,6.0,5.87,6.21
el-guardian-entre-el-centeno,206,9.0,8.97,7.1
el-guardian-invisible-trilogia-del-baztan-1,58,5.0,5.5,6.68
la-primera-guerra-mundial-contada-para-escepticos,91,8.0,7.97,7.46
en-una-selva-oscura,201,8.0,7.87,7.26
tintin-y-los-picaros,68,6.0,6.02,6.38
principiantes,276,9.0,8.73,7.22
batman-el-regreso-del-caballero-oscuro,271,6.0,6.07,6.5
al-sur-de-la-frontera-al-oeste-del-sol,29,8.0,7.89,7.41
un-saco-de-huesos,90,6.0,6.1,6.35
los-girasoles-ciegos,292,7.0,6.99,7.92
piromides,260,8.0,8.1,8.46
cuentos-de-eva-luna,201,4.0,4.49,7.06
bailando-con-lobos,401,10.0,9.27,8.77
juego-de-tronos-cancion-de-hielo-y-fuego-1,244,9.0,8.71,8.7
las-virgenes-suicidas,201,7.0,7.17,7.38
los-ritos-del-agua-trilogia-de-la-ciudad-blanca-2,108,7.0,6.83,7.62
sidi-un-relato-de-frontera,143,8.0,7.96,7.63
ojala-fuera-cierto,154,6.0,6.16,7.18
mi-familia-y-otros-animales,160,10.0,9.79,8.66
los-juegos-del-hambre,249,8.0,7.98,7.16
lo-que-el-viento-se-llevo,76,10.0,9.43,8.33
el-nombre-de-la-rosa,216,10.0,9.13,6.94
la-cajita-de-rape,235,8.0,7.87,7.96
el-superzorro,106,7.0,6.95,7.1
la-nena,244,9.0,8.66,7.55
esto-es-agua,45,6.0,6.08,7.0
el-refugio-de-los-canallas,20,9.0,8.85,6.82
harry-potter-y-la-orden-del-fenix,0,7.0,7.06,7.49
el-callejon-de-los-resucitados,92,6.0,6.08,6.82
soy-pilgrim,171,8.0,7.92,8.65
sapiens-de-animales-a-dioses-una-breve-historia-de-la-humanidad,185,10.0,9.4,10.0
el-catolicismo-explicado-a-las-ovejas,254,7.0,6.96,7.39
el-nombre-de-la-rosa,204,7.0,6.91,5.74
africanus-el-hijo-del-consul,102,9.0,8.88,7.96
reina-roja,62,7.0,6.82,7.01
harry-potter-y-las-reliquias-de-la-muerte,305,9.0,8.75,7.9
relato-de-un-naufrago,1402,6.0,6.94,8.35
la-llave-de-cristal,167,5.0,5.16,7.6
la-red-purpura,223,8.0,8.02,7.78
el-bosque-sabe-tu-nombre,97,8.0,8.02,8.62
la-conjura-de-cortes-la-vida-extraordinaria-de-martin-ojo-de-plata-3,121,8.0,7.51,6.74
la-imposible-patrulla-x-vs-magneto,62,8.0,7.92,6.97
la-bibliotecaria-de-auschwitz,347,9.0,9.02,7.78
el-prisionero-del-cielo-el-cementerio-de-los-libros-olvidados-3,262,7.0,7.2,7.62
la-imposible-patrulla-x-dias-del-futuro-pasado,102,8.0,7.9,6.8
el-perro-que-corria-hacia-una-estrella,88,6.0,6.34,7.25
jardin-de-invierno-1,145,8.0,7.75,7.29
presentimientos,300,8.0,7.8,6.68
ensayo-sobre-la-ceguera,1321,10.0,9.9,9.78
no-digas-que-fue-un-sueno,169,5.0,5.31,6.91
dispara-yo-ya-estoy-muerto,235,7.0,7.66,8.41
persiguiendo-a-silvia,197,5.0,5.19,6.39
el-silmarillion,21,6.0,6.16,5.63
la-biblia-de-barro,128,7.0,6.8,6.65
reina-roja,295,9.0,9.11,8.07
desaparecidas,77,5.0,5.22,7.25
las-olas-del-destino,22,7.0,7.16,7.71
nada-se-opone-a-la-noche,1019,8.0,7.88,7.8
la-bolsa-en-tu-bolsillo-guia-facil-para-entender-la-bolsa-y-el-mercado-de-valores,141,4.0,4.28,6.69
fanhunter-the-final-conflict,102,6.0,6.11,6.8
los-hombres-que-no-amaban-a-las-mujeres-millennium-i,1963,10.0,9.9,10.0
la-doctrina-del-shock-del-auge-del-capitalismo-del-desastre,2358,8.0,8.36,9.09
vengador,44,7.0,6.79,6.73
las-rosas-del-sur,20,10.0,9.71,6.82
las-inquietudes-de-shanti-andia,137,10.0,9.69,8.23
el-verano-sin-hombres,271,5.0,5.1,6.5
como-una-extrana,309,9.0,8.38,7.5
siete-dias-de-julio,20,8.0,7.95,7.4
las-legiones-malditas,220,8.0,7.86,8.2
las-tres-bodas-de-manolita-episodios-de-una-guerra-interminable-3,151,9.0,8.56,7.09
la-ultima-noche-en-tremore-beach,145,7.0,7.28,6.99
de-que-hablo-cuando-hablo-de-correr,195,7.0,7.12,6.51
loba-negra,145,8.0,8.04,7.21
mujeres,265,8.0,8.3,8.85
las-baladas-del-ajo,85,7.0,6.77,6.76
la-noche-del-oraculo,125,7.0,6.97,7.38
ha-vuelto,288,7.0,6.86,6.6
cielos-de-barro,88,9.0,8.48,7.31
el-proceso,410,7.0,7.28,8.34
alicia-en-el-pais-de-las-maravillas,126,10.0,9.83,7.55
2666,260,10.0,9.76,9.54
el-observatorio,176,8.0,7.86,7.07
requiem-a-cinco-voces,230,8.0,7.84,7.65
el-ciclo-del-hombre-lobo,102,7.0,6.72,5.01
el-ultimo-barco,158,9.0,8.76,8.08
tristana,305,7.0,6.95,7.31
falco,91,8.0,7.66,7.69
ritos-de-muerte,1465,8.0,7.7,8.89
el-cuarto-protocolo,201,8.0,7.87,7.26
el-guardian-entre-el-centeno,0,8.0,7.86,7.34
requiem-por-granada,32,8.0,7.92,7.44
afinidad,271,7.0,6.96,6.5
candela-1,173,6.0,6.12,7.17
lo-que-no-te-mata-te-hace-mas-fuerte-millennium-iv,271,9.0,8.8,6.32
la-sabana-santa-fotografia-de-jesucristo,207,7.0,6.86,6.64
los-hijos-de-adan-la-saga-de-los-longevos-ii,263,6.0,6.63,7.52
el-senor-de-los-anillos-i-la-comunidad-del-anillo,2148,10.0,9.72,9.33
gatos-sin-fronteras,273,8.0,7.82,7.79
cometas-en-el-cielo,233,8.0,8.43,8.69
historias-de-terramar-ii-la-costa-mas-lejana,308,8.0,7.92,7.04
los-panzers-de-la-muerte,227,8.0,7.89,6.86
crimen-y-castigo,209,10.0,9.53,7.52
lo-que-dicen-tus-ojos,70,8.0,7.93,7.5
demian-historia-de-la-juventud-de-emil-sinclair,292,8.0,7.75,7.71
episodios-nacionales-primera-serie-la-guerra-de-la-independencia,169,10.0,9.49,6.79
el-maestro-de-esgrima,286,6.0,6.38,7.84
la-cienaga-de-los-hipopotamos,35,8.0,7.76,7.56
la-zapatera-prodigiosa,2672,4.0,5.01,3.79
la-carretera,292,8.0,8.06,7.73
lo-que-el-viento-se-llevo,60,7.0,7.12,7.93
el-viejo-y-el-mar,757,10.0,10.0,8.08
la-muerte-de-ulises,133,6.0,6.65,9.11
los-senores-del-tiempo-trilogia-de-la-ciudad-blanca-3,244,5.0,4.77,6.44
el-archivo-de-las-tormentas-i-el-camino-de-los-reyes,1123,9.0,8.97,8.27
matatrolls-las-aventuras-de-gotrek-y-felix,99,6.0,6.22,8.07
el-senor-de-los-anillos-i-la-comunidad-del-anillo,2314,8.0,7.98,9.42
el-zorro-comienza-la-leyenda,312,7.0,7.09,5.7
cien-preguntas-basicas-sobre-la-ciencia,235,7.0,7.13,7.9
la-sospecha-de-sofia,20,3.0,3.47,6.7
ser-feliz-en-alaska-mentes-fuertes-contra-viento-y-marea,297,9.0,8.92,8.28
el-ultimo-caton,169,4.0,4.49,6.14
el-mar,2178,8.0,7.28,5.57
los-hombres-que-no-amaban-a-las-mujeres-millennium-i,176,7.0,7.95,7.12
patria,22,10.0,9.28,9.02
el-nino-con-el-pijama-de-rayas,99,8.0,7.7,8.06
ardiente-recuerdo,299,9.0,8.85,7.72
vivir-para-contarla,130,5.0,5.62,6.77
asterix-en-helvecia-la-gran-coleccion-16,62,10.0,9.56,6.97
wilt,288,7.0,7.04,6.88
la-danza-de-los-tulipanes,66,8.0,7.58,7.53
un-angel-impuro,212,4.0,4.43,6.13
el-gran-frio,373,8.0,8.17,8.44
matar-a-un-ruisenor,86,4.0,4.38,6.4
la-emperatriz-de-la-seda,126,8.0,7.97,7.48
todos-los-nombres,1037,9.0,8.63,9.04
el-hombre-que-perseguia-su-sombra-millennium-v,120,2.0,2.29,5.84
territorio-comanche,67,8.0,7.89,7.6
sinsajo-los-juegos-del-hambre-3,271,8.0,7.8,6.66
la-legion-perdida-el-sueno-de-trajano,161,10.0,9.61,9.0
patria,276,7.0,7.33,8.39
en-los-zapatos-de-valeria,86,5.0,5.21,5.35
juntos-nada-mas,405,6.0,6.48,8.21
si-a-los-tres-anos-no-he-vuelto,145,9.0,8.9,6.86
la-biblia-de-los-caidos-tomo-1-del-testamento-de-jon-apendices,268,8.0,8.05,7.76
un-viejo-que-leia-novelas-de-amor,91,7.0,7.05,8.24
el-mar,586,8.0,7.74,7.57
los-hijos-del-mar,284,6.0,5.99,6.25
robin-ano-uno,408,7.0,7.0,6.93
el-fin-de-la-eternidad,102,8.0,7.95,7.65
la-llegada-de-los-tres-la-torre-oscura-ii,308,6.0,6.06,7.13
american-psycho,265,7.0,7.07,8.17
apartamento-16,613,7.0,6.47,5.48
perdona-si-te-llamo-amor,151,6.0,5.97,5.11
el-arbol-de-la-ciencia,201,9.0,8.83,7.65
el-jilguero,86,6.0,6.08,6.55
el-padrino,58,10.0,9.18,8.17
1984,105,8.0,7.62,7.91
el-laberinto-de-las-aceitunas,85,7.0,6.54,6.6
tres-actos-y-dos-partes,127,6.0,6.53,7.72
tiempos-dificiles,159,7.0,6.8,6.96
la-caida-de-los-gigantes-the-century-1,107,7.0,7.46,8.54
volver-a-casa-2,3128,5.0,5.9,5.0
el-inventor-de-historias,218,6.0,6.18,7.02
la-estrella-del-diablo-harry-hole-5,271,9.0,8.82,6.5
acosado-cronicas-del-druida-de-hierro,176,8.0,7.79,7.07
tus-zonas-erroneas,282,6.0,6.43,6.83
los-hombres-que-no-amaban-a-las-mujeres-millennium-i,163,8.0,7.59,7.51
el-nombre-de-la-rosa,500,1.0,1.42,4.02
el-castillo-de-otranto,581,4.0,4.85,7.0
la-milla-verde-el-pasillo-de-la-muerte,735,10.0,9.17,7.67
pachinko,2394,7.0,7.39,7.62
el-maestro-de-esgrima,265,8.0,8.04,7.86
orgullo-y-prejuicio,140,9.0,8.76,8.64
la-vida-y-las-muertes-de-ethel-jurado,45,9.0,8.79,7.0
recordaran-tu-nombre,13,2.0,2.35,5.21
el-factor-sobrenatural,158,6.0,6.26,7.6
el-quimico-de-los-lumiere,169,8.0,7.79,6.79
flores-en-el-atico-saga-dollanganger-1,309,8.0,7.53,7.29
godos-el-principio-del-fin-del-imperio-romano,161,6.0,6.2,7.51
lo-que-esconden-las-nubes-oscuras,271,7.0,6.99,6.5
relato-de-un-naufrago,248,8.0,7.95,6.65
paranoia,242,6.0,6.66,6.86
desesperacion-1,90,7.0,7.01,6.51
decameron,1615,4.0,5.01,5.69
el-silenciero,232,8.0,7.89,7.35
la-niebla,102,6.0,6.04,6.77
el-manuscrito-carmesi,169,6.0,6.02,6.79
el-juego-del-angel-el-cementerio-de-los-libros-olvidados-2,530,7.0,6.92,6.54
el-padrino,235,7.0,7.68,9.14
la-biblia-de-barro,151,5.0,5.18,6.36
la-noche-en-que-frankenstein-leyo-el-quijote,273,9.0,8.88,8.56
nosotras-que-no-somos-como-las-demas,216,5.0,5.32,7.01
palmeras-en-la-nieve,151,9.0,8.53,7.6
la-cruz-de-san-andres-1,4,5.0,5.15,6.57
