nombre,miembro_desde,genero,vive_en,nacimiento
172,4 años,Hombre,Ares - España,1980.0
173,6 años,Mujer,Albacete - España,1991.0
174,1 semana,Hombre,Ibagué - Colombia,1920.0
175,1 año,Mujer,Madrid - Afghanistan,1969.0
176,11 años,Mujer,,
177,3 meses,Hombre,,
178,5 meses,Mujer,Barcelona - España,1910.0
179,7 años,Hombre,Mendoza - Argentina,1969.0
180,5 días,Mujer,Sevilla - España,1980.0
181,1 año,Mujer,Las palmas de gran canaria - España,1982.0
182,1 año,Hombre,Pamplona - España,1958.0
183,5 años,Hombre,Ubrique - España,1976.0
184,4 días,Hombre,Sevilla - España,1993.0
185,3 días,Hombre,Berlin - Germany,1980.0
186,3 días,Hombre,Gijon - España,1959.0
187,3 días,Hombre,Barcelona - España,1982.0
188,3 días,Mujer,Valencia - España,1977.0
189,3 días,Mujer,Ciutadella - España,1999.0
190,3 días,Hombre,Madrid - España,1967.0
191,2 días,Hombre,Cartagena - España,1979.0
192,2 días,Mujer,Elx / elche - España,1975.0
193,2 días,Hombre,Huelva - España,1991.0
194,2 días,Hombre,Aldeamayor de san martín - España,1967.0
195,4 años,Hombre,España,1963.0
196,6 años,Hombre,Sevilla - España,1977.0
197,6 años,Mujer,Terrassa - España,1985.0
198,2 semanas,Mujer,Maracaibo - Venezuela,1974.0
199,7 años,Hombre,,
200,5 años,Mujer,Lleida - España,1968.0
201,4 años,Hombre,Madrid - España,1973.0
202,6 meses,Hombre,Barcelona - España,1940.0
203,5 años,Mujer,Huelva - España,1988.0
204,3 años,Hombre,España,1977.0
205,6 años,Hombre,A coruña - España,1987.0
206,5 años,Hombre,Sevilla - España,1965.0
207,3 años,Hombre,Almería - España,1991.0
208,3 meses,Hombre,Murcia - España,1972.0
209,12 años,,,
210,1 año,Hombre,La plata - Argentina,1993.0
211,5 años,Mujer,La coruña - España,1963.0
212,7 años,,Turon - España,1972.0
213,4 años,Hombre,Madrid - España,1993.0
214,2 años,Mujer,Bilbao - España,1979.0
215,6 años,,España,
216,3 años,Hombre,España,1962.0
217,2 años,Mujer,Arroyomolinos - España,1975.0
218,2 años,Mujer,Lleida - Andorra,1967.0
219,11 años,Hombre,,
220,3 años,Mujer,San fernando de henares - España,1966.0
221,2 años,Hombre,,
222,9 meses,Hombre,Tarragona - España,1973.0
223,6 años,Mujer,Valdeaveruelo - España,1965.0
224,2 años,Hombre,Valencia - Afghanistan,1987.0
225,4 años,Mujer,Sevilla - España,1992.0
226,4 años,Mujer,Valencia - España,1988.0
227,3 años,Hombre,Barcelona - España,1979.0
228,7 años,,Zaragoza - España,1988.0
229,5 años,Hombre,España,1986.0
230,10 años,Mujer,Guadalajara jalisco - Mexico,1977.0
231,1 semana,Hombre,Bilbao - España,1977.0
232,4 años,Hombre,España,1971.0
233,10 años,Hombre,Sevilla - España,1979.0
234,1 año,Hombre,Santa cruz de tenerife - España,1987.0
235,8 años,Hombre,Málaga - España,1967.0
236,3 años,Mujer,,
237,6 días,Mujer,,
238,11 meses,Hombre,Madrid - España,1965.0
239,2 meses,Hombre,San sebastian - España,1982.0
240,2 años,Hombre,Jerez - España,1987.0
241,4 meses,Hombre,Asturias - España,1992.0
242,3 años,Mujer,Buenos aires - Argentina,1989.0
243,4 años,Hombre,España,1979.0
244,7 años,,Salamanca - España,1972.0
245,4 días,Mujer,Barcelona - España,1969.0
246,4 días,Hombre,Barcelona - España,1989.0
247,4 días,Mujer,,
248,3 años,Hombre,Madrid - España,1983.0
249,6 años,Mujer,España,1982.0
250,5 meses,Hombre,Valladolid - España,1998.0
251,2 meses,Hombre,Lima - Peru,1971.0
252,3 semanas,Mujer,,
253,9 años,Hombre,España,1987.0
254,8 años,,Córdoba - España,1968.0
255,7 años,Hombre,Bilbao - España,1961.0
256,4 años,Mujer,Ferrol - España,1994.0
257,9 años,,España,1910.0
258,5 años,Mujer,España,1980.0
259,1 año,Hombre,Santander - España,1974.0
260,3 años,Hombre,Madrid - España,1998.0
261,1 año,Hombre,Almansa - España,1975.0
262,1 año,Mujer,Soria - España,1946.0
263,3 años,Hombre,Málaga - España,1976.0
264,2 años,Hombre,Caba - Argentina,1993.0
265,1 año,Hombre,Madrid - España,1974.0
266,2 días,Hombre,Cartagena - España,1986.0
267,11 años,,España,1910.0
268,4 años,Hombre,Zaragoza - España,1975.0
269,4 meses,Hombre,Badalona - España,1973.0
270,6 meses,Hombre,Santiago de compostela - España,1986.0
271,10 años,Mujer,Bizkaia. - España,1981.0
272,4 meses,Hombre,Granada - España,1992.0
273,9 años,Mujer,Madrid - España,1975.0
274,1 año,Hombre,Vigo - España,1970.0
275,7 años,,Madrid - España,1971.0
276,4 años,Hombre,España,1964.0
277,9 años,Hombre,Madrid - España,1987.0
278,1 segundo,Hombre,Opel corsa - España,1990.0
279,8 años,Hombre,Sevilla - España,1986.0
280,1 año,Mujer,Bariloche - Argentina,1986.0
281,3 meses,Hombre,Donostia-san sebastian - España,1992.0
282,3 años,,España,
283,9 meses,Hombre,Vitoria - España,1977.0
284,11 años,,,
285,6 años,,,
286,4 años,Mujer,Barcelona - España,1972.0
287,6 meses,Hombre,Córdoba - España,1998.0
288,6 años,Mujer,España,1987.0
289,2 años,Mujer,,
290,5 años,Mujer,Madrid - España,1986.0
291,1 año,Hombre,Viladecans - España,1971.0
292,5 años,Hombre,León - España,1989.0
293,3 años,Hombre,España,1973.0
294,2 años,Mujer,,
295,5 años,Mujer,Alguna ciudad española - España,1988.0
296,5 años,Mujer,Alicante - España,1992.0
297,5 años,Mujer,Madrid - España,1983.0
298,1 año,Mujer,Vigo - España,1982.0
299,9 años,,Toledo - España,1982.0
300,10 años,Mujer,,
301,11 meses,Hombre,Oirós - España,1988.0
302,3 años,Mujer,Murcia - España,1993.0
303,1 año,Mujer,,
304,3 años,,Colmenar viejo - España,1910.0
305,5 años,Mujer,Madrid - España,1984.0
306,1 año,Hombre,Barcelona - España,1983.0
307,3 años,,Madrid - España,1910.0
308,3 años,Hombre,Lleida - España,1984.0
309,6 años,Mujer,Zaragoza - España,1969.0
310,1 mes,Hombre,------ - Argentina,2000.0
311,4 meses,Mujer,Sevilla - España,1997.0
312,4 años,Hombre,Sevilla - España,1983.0
313,,Mujer,Getxo - España,1978.0
314,,Hombre,Bilbao - España,1996.0
315,,Mujer,,
316,,Hombre,Cadalso de los vidrios - España,1952.0
317,,Mujer,¿?,1981.0
318,,Mujer,Alcala de henares - España,1973.0
319,,Mujer,Navarra - España,1989.0
320,,,Mundo mundial - España,1954.0
321,,Mujer,Córdoba - España,1987.0
322,,Hombre,Medellín - Colombia,1983.0
323,,,España,
324,,Mujer,Stuttgart - Gambia the,1986.0
325,,Mujer,Huelva - España,1963.0
326,,Mujer,España,1984.0
327,,Mujer,España,1981.0
328,,Mujer,Barcelona - España,1910.0
329,,,España,
330,,,úbeda - España,1966.0
331,,Hombre,Envigado - Colombia,1972.0
332,,Mujer,Parla - madrid - España,1974.0
333,,,España,
334,,Mujer,España,1910.0
335,,,Bogota - Colombia,1991.0
336,,Hombre,Telde - España,1963.0
337,,Hombre,Albacete - España,1980.0
338,,,Santiago - Cote d'Ivoire,1987.0
339,,,Jerez de la frontera - España,1965.0
340,,Mujer,Madrid - España,1967.0
341,,Mujer,Madrid - España,
342,,,Madrid - España,1988.0
343,,,Martos (jaén) - España,1987.0
344,,,España,
345,,Mujer,España,1957.0
346,,Mujer,Tarragona - España,1970.0
347,,Mujer,Almería - España,1962.0
348,,,Calahorra - España,1963.0
349,,Mujer,España,1963.0
350,,Mujer,Valencia - España,1983.0
351,,Hombre,Tegucigalpa - Honduras,1969.0
352,,Hombre,¿?,
353,,Hombre,Barcelona - España,1970.0
354,,Hombre,,
355,,Mujer,Montevideo - Uruguay,1973.0
356,,Hombre,Toluca - Mexico,1987.0
357,,Hombre,Granada - España,1973.0
358,,Mujer,,
359,,Hombre,Sonora - Mexico,1989.0
360,,Hombre,Valencia - España,1968.0
361,,Hombre,Sabadell - España,1996.0
362,,Hombre,Quito - Ecuador,1984.0
363,,Hombre,Quito - Ecuador,1985.0
364,,Hombre,La plata - Argentina,1996.0
365,,Hombre,Neuquén - Argentina,1994.0
366,,Hombre,Buenos aires - Argentina,1984.0
367,,Hombre,Bolivar - Argentina,1986.0
368,,Hombre,"Bogotá, d.c. - Colombia",1981.0
369,,Hombre,Bogota - Colombia,1992.0
370,,Hombre,Santiago - Chile,1994.0
371,,Hombre,Monforte de lemos - España,
372,,Hombre,Vélez-málaga - España,1973.0
373,,Mujer,Zaragoza - España,1971.0
374,,Mujer,Los realejos - España,1981.0
375,,Hombre,Madrid - España,1910.0
376,,Mujer,Katmandú - ¿?,1910.0
377,,Hombre,Málaga - España,1995.0
378,,,España,1990.0
379,,Hombre,Sevilla - España,1987.0
380,,Hombre,España,1984.0
381,,Mujer,Barcelona - España,2011.0
382,,Mujer,España,1971.0
383,,Mujer,,
384,,Mujer,Santiago - Chile,1967.0
385,,Mujer,España,1992.0
386,,Hombre,Madrid - España,1977.0
387,,Hombre,Jaén - España,1972.0
388,,Mujer,Pantoja - España,1982.0
389,,Mujer,Llucmajor - España,1975.0
390,,,España,
391,,Mujer,Pozuelo - España,1969.0
392,,,Moaña - España,1972.0
393,,,España,
394,,Mujer,Granada - España,1970.0
395,,,España,
396,,,España,1981.0
397,,,España,
398,,,España,
399,,,España,1959.0
400,,,España,
401,,,España,
402,,,E - España,1971.0
403,,,Murcia - España,1910.0
404,,,España,
405,,,España,
406,,Hombre,Valencia - España,1990.0
407,,Hombre,Madrid - España,1987.0
408,,Hombre,Bilbao - España,1981.0
409,,Hombre,Valencia - España,1977.0
410,,Hombre,Madrid - España,1984.0
411,,Hombre,Premia de dalt - España,1995.0
412,,Mujer,Baleares - España,2002.0
413,,Mujer,Montevideo - Uruguay,1995.0
414,,Hombre,Morelia - Mexico,1978.0
415,,Hombre,Oviedo - España,1970.0
416,,Hombre,Gijon - España,1978.0
417,,Mujer,Almería - España,1987.0
418,,Mujer,,
419,,Hombre,Ciudad real - España,1983.0
420,,Hombre,Albacete - España,1983.0
421,,Hombre,Madrid - España,1984.0
422,,Hombre,Madrid - España,1982.0
423,,Hombre,,
424,,Mujer,Casadelos-xubia - España,1975.0
425,,,¿?,
426,,Mujer,Santiago de cuba - Cuba,1976.0
427,,Hombre,Bilbao - España,1982.0
428,,Hombre,Bogotá - Colombia,1991.0
429,,Hombre,"Bilbao, bizkaia - ¿?",1994.0
430,,Hombre,Bogotá d.c - Colombia,1994.0
431,,Mujer,Santiago de compostela - España,1959.0
432,,Hombre,Madrid - Afghanistan,1981.0
433,,,España,1910.0
434,,Hombre,,
435,,Hombre,Palma de mallorca - España,1970.0
436,,Hombre,Bogota d.c - Colombia,1996.0
437,,Hombre,Uruguay,1910.0
438,,Hombre,Madrid - España,1982.0
439,,Hombre,España,1967.0
440,,Hombre,Barberà del vallès - España,1956.0
441,,Hombre,Rancagua - Cote d'Ivoire,1983.0
442,,Mujer,Barcelona - España,1987.0
443,,Mujer,Barcelona - España,1992.0
444,,Mujer,España,1979.0
445,,Mujer,,
446,,,España,1910.0
447,,Mujer,España,1910.0
448,,,España,1970.0
449,,Hombre,Bucaramanga - Colombia,1995.0
450,,Hombre,León - Mexico,1973.0
451,,Mujer,Madrid - España,1949.0
452,,Mujer,Venezuela,1985.0
453,,,España,
454,,Hombre,Mexico,1988.0
455,,,España,
456,,Mujer,Santa cruz tenerife - España,1965.0
457,,Hombre,Santa cruz de tenerife - España,1967.0
458,,,España,1910.0
459,,Hombre,Palma de mallorca - España,1910.0
460,,Mujer,Murcia - España,1976.0
461,,,España,1910.0
462,,,España,
463,,Hombre,Santillana - España,1975.0
464,,Mujer,Caracas - Venezuela,1975.0
465,,,España,
466,,Hombre,Madrid - España,1991.0
467,,Mujer,Santander - España,1973.0
468,,Mujer,Sevilla - España,1984.0
469,,,España,
470,,Mujer,Santiago - Cote d'Ivoire,1985.0
471,,,Argentina,1987.0
472,,Mujer,La plata - Argentina,1975.0
473,,Hombre,Neuquén - Argentina,1963.0
474,,Mujer,Heredia -,1984.0
475,,Hombre,Alcobendas - España,1968.0
476,,Hombre,Encarnación - Panama,1992.0
477,,Hombre,Madrid - España,1965.0
478,,Mujer,Ramiras orense - España,1962.0
479,,Hombre,Barcelona - España,1963.0
480,,Mujer,España,1979.0
481,,Mujer,Distrito federal - Mexico,1974.0
482,,Mujer,España,1969.0
483,,,Ciudad de mexico - Mexico,1983.0
484,,,Corrientes - Argentina,1986.0
485,,,España,1971.0
486,,,Argentina,1985.0
487,,,España,1910.0
488,,,Argentina,
489,,,Badajoz - España,1986.0
490,,,España,1987.0
491,,Hombre,Oviedo - España,1971.0
492,,,Argentina,1991.0
493,,Mujer,Cádiz - España,1984.0
494,,,España,
495,,Mujer,España,1970.0
496,,,España,
497,,,España,1971.0
498,,,España,
499,,,España,
500,,,Carabobo - Venezuela,1987.0
501,,Mujer,,
502,,Mujer,España,1980.0
503,,,España,
504,,Mujer,Huelva - España,1974.0
505,,,España,
506,,,Mexico,
507,,,España,
508,,,Mexico,
509,,,España,
510,,,Madrid - España,1910.0
511,,Hombre,Bilbao - España,1965.0
512,,,La coruña - España,1960.0
513,,,España,1910.0
514,,Mujer,Tarragona - España,1984.0
515,,,España,
516,,Mujer,,
517,,,España,1910.0
518,,,Cote d'Ivoire,
519,,,Santiago de compostela - España,
520,,,O grove - España,1992.0
521,,,España,
522,,,España,
523,,,España,
524,,,España,
525,,,España,
526,,Hombre,Canet de mar - España,1972.0
527,,,España,
528,,,España,
529,,,España,
530,,,España,1962.0
531,,,España,
532,,,España,
533,,,Mexico,
534,,,España,
535,,,España,
536,,,España,
537,,Hombre,Salamanca - España,1968.0
538,,Mujer,Ecuador,1978.0
539,,,España,
540,,,Argentina,
541,,Mujer,San sebastian - España,1958.0
542,,Mujer,Barcelona - España,1973.0
543,,,España,
544,,,España,
545,,,España,1976.0
546,,Hombre,Cartago - Costa Rica,1972.0
547,,,España,
548,,Mujer,La plata - Argentina,1949.0
549,,,España,
550,,,España,
551,,,España,
552,,,España,
553,,,España,
554,,,España,
555,,,España,
556,,,España,
557,,,España,
558,,,España,
559,,,España,
560,,,Mexico,
561,,,España,
562,,Hombre,Buenos aires - Argentina,1974.0
563,,Hombre,Argentina,1981.0
564,,Mujer,9 de julio -buenos aires - Argentina,1961.0
565,,Hombre,Madrid - España,1984.0
566,,Hombre,Madrid - España,1984.0
567,,Hombre,Sevilla - España,1956.0
568,,Mujer,Puertollano - España,1982.0
569,,Hombre,Vicente lopez - Argentina,1991.0
570,,Hombre,¿?,
571,,Hombre,Pamplona - España,1976.0
572,,Hombre,Madrid - España,1989.0
573,,Mujer,Madrid - España,1990.0
574,,Hombre,Toledo - España,1959.0
575,,Mujer,Castelldefels - España,1968.0
576,,,Madrid - España,1910.0
577,,,España,
578,,,Vigo - España,1950.0
579,,,España,
580,,,Argentina,
581,,,Oviedo - España,1972.0
582,,Mujer,Madrid - España,1956.0
583,,,España,
584,,,España,
585,,,España,1910.0
586,,Hombre,España,1970.0
587,,,Lima - Peru,1984.0
588,,Hombre,Valencia - España,1978.0
589,,Hombre,Lake mary - United States of America,1910.0
590,,,España,1910.0
591,,Mujer,Fredrikstad - Norway,1985.0
592,,,Netherlands Antilles,
593,,,A coruña - España,1960.0
594,,,España,1910.0
595,,Mujer,¿?,
596,,Mujer,,
597,,Hombre,,
598,,Hombre,Zaragoza - España,1992.0
599,,Mujer,Bogota - Colombia,1982.0
600,,,España,
601,,,España,
602,,,España,
603,,Hombre,Hialeah - United States of America,1990.0
604,,Hombre,España,1985.0
605,,Hombre,Netherlands the,1992.0
606,,,Madrid - España,1977.0
607,,,España,
608,,Hombre,Villarrobledo - España,1989.0
609,,Hombre,Madrid - España,1971.0
610,,,Peru,1910.0
611,,,España,
612,,,,
613,,Mujer,Barcelona - España,1986.0
614,,,España,1981.0
615,,,Alzira - España,1973.0
616,,Mujer,San miguel de tucumán - Argentina,1988.0
617,,Mujer,Jaén - España,1964.0
618,,Hombre,,
619,,,Madrid - España,1966.0
620,,Mujer,ávila - España,1994.0
621,,Mujer,Madrid - España,1992.0
622,,Mujer,La virgen del camino - Afghanistan,1982.0
623,,Hombre,Madrid - España,1949.0
624,,Mujer,Colombia,1955.0
625,,Mujer,España,1968.0
626,,,España,
627,,Hombre,Vigo - España,1952.0
628,,,España,
629,,Hombre,Getafe - España,1971.0
630,,Mujer,Cáceres - España,1986.0
631,,Mujer,Burgos - España,1968.0
632,,,España,1985.0
633,,,Albacete - España,1948.0
634,,Hombre,Caracas - Venezuela,1976.0
635,,,Málaga - España,1955.0
636,,,España,1961.0
637,,Hombre,España,1910.0
638,,Mujer,Palma - España,1973.0
639,,Hombre,Valladolid - España,1974.0
640,,Mujer,Santiago - Chile,1986.0
641,,Hombre,Guadalajara - Mexico,1994.0
642,,Mujer,,
643,,Mujer,,
644,,Hombre,Madrid - España,1972.0
645,,Mujer,Leon - España,1965.0
646,,Mujer,Madrid - España,1965.0
647,,Hombre,Sallent - España,1962.0
648,,,Palencia - España,1967.0
649,,Mujer,,
650,,Hombre,Rosario - Argentina,1990.0
651,,Hombre,,
652,,Hombre,Buenos aires - Argentina,1968.0
653,,Mujer,Pamplona - España,1989.0
654,,,Madrid - España,1982.0
655,,Hombre,,
656,,Mujer,Madrid - España,1970.0
657,,Hombre,Ciudad autonoma de buenos aires - Argentina,1995.0
658,,Mujer,Sevilla - España,1965.0
659,,Mujer,Toledo - España,1981.0
660,,Mujer,Santa cruz de tenerife - España,1983.0
661,,Mujer,Cuauhtemoc - Mexico,1993.0
662,,,¿?,
663,,Hombre,,
664,,Mujer,Sevilla - España,1993.0
665,,,,
666,,Mujer,Madrid - España,1990.0
667,,Mujer,Córdoba - España,1966.0
668,,Hombre,Capital - Argentina,1981.0
669,,,¿?,
670,,Mujer,Barcelona - España,1982.0
671,,Hombre,¿?,
672,,Hombre,Torrejón de ardoz - España,1987.0
673,,,¿?,
674,,,¿?,
675,,Mujer,,
676,,,España,
677,,Hombre,Barcelona - Afghanistan,1979.0
678,,Hombre,Madrid - ¿?,
679,,Mujer,,
680,,,España,
681,,Hombre,Monforte de lemos - España,1988.0
682,,Mujer,La coruña - España,1973.0
683,,,España,1979.0
684,,Hombre,Valls - España,1977.0
685,,Hombre,Santiago - Chile,1988.0
686,,Hombre,"Saltillo, coah - Mexico",1984.0
687,,,Veracruz - Mexico,1988.0
688,,,España,1974.0
689,,,España,
690,,Hombre,Madrid - España,1994.0
691,,,España,
692,,Hombre,Madrid - España,1985.0
693,,Mujer,Mostoles - España,1992.0
694,,,España,1987.0
695,,Mujer,España,1986.0
696,,,Córdoba - España,1967.0
697,,,España,1980.0
698,,Mujer,,
699,,Hombre,Chihuahua - Mexico,1998.0
700,,Mujer,Santiago - Cote d'Ivoire,1990.0
701,,Mujer,Windsor - United Kingdom,1976.0
702,,Mujer,España,1983.0
703,,Mujer,Jalisco - Mexico,1998.0
704,,Hombre,Rosario - Argentina,1993.0
705,,,España,
706,,Mujer,Buenos aires - Argentina,1989.0
707,,Mujer,Tarragona - España,1982.0
708,,Hombre,México - Mexico,1992.0
709,,Mujer,Valencia - España,1995.0
710,,Mujer,Valencia - Venezuela,1995.0
711,,Hombre,Tijuana - España,2000.0
712,,Hombre,Buenos aires - Argentina,1990.0
713,,Mujer,Mexico,1996.0
714,,Hombre,Córdoba - España,1985.0
715,,,España,
716,,Hombre,Valladolid - España,1997.0
717,,Hombre,Sopela - España,1991.0
718,,Mujer,Santiago - Cote d'Ivoire,1968.0
719,,Mujer,España,1910.0
720,,Mujer,España,1986.0
721,,,Alcoy - España,1986.0
722,,Mujer,Sevilla - España,1977.0
723,,Mujer,Madrid - España,1964.0
724,,Mujer,España,1984.0
725,,Hombre,Granada - España,1984.0
726,,,España,
727,,,España,1983.0
728,,Mujer,Granollers - España,1974.0
729,,Mujer,Madrid - España,1997.0
730,,Mujer,,
731,,Hombre,¿?,
732,,,España,1974.0
733,,,Las rozas - España,1973.0
734,,Mujer,Ponferrada - España,1979.0
735,,Mujer,,
736,,Hombre,Villanueva de la cañada - España,1974.0
737,,,España,1978.0
738,,Hombre,,
739,,,España,1967.0
740,,,España,
741,,Mujer,Blanes - España,1973.0
742,,Hombre,Maracaibo - Venezuela,1971.0
