id,title,year,imdbID,rtID
97,La haine,1995,113247,hate
98,Going Shopping,2005,295605,going_shopping
99,Heidi Fleiss: Hollywood Madam,1995,113283,heidi_fleiss_hollywood_madam
100,City Hall,1996,115907,city_hall
101,Bottle Rocket,1996,115734,bottle_rocket
102,Mr. Wrong,1996,117102,mr_wrong
103,Unforgettable,1996,118040,unforgettable
104,Happy Gilmore,1996,116483,happy_gilmore
105,The Bridges of Madison County,1995,112579,bridges_of_madison_county
106,Keiner liebt mich,1994,110251,nobody_loves_me
107,Muppet Treasure Island,1996,117110,muppet_treasure_island
110,Braveheart,1995,112573,1065684-braveheart
111,Taxi Driver,1976,75314,taxi_driver
112,Hung fan kui,1995,113326,rumble_in_the_bronx
113,Before and After,1996,115645,1070061-before_and_after
114,Margaret's Museum,1995,113774,margarets_museum
115,Le bonheur est dans le pré,1995,112556,happiness_is_in_the_field
116,Anne Frank Remembered,1995,112373,anne_frank_remembered
117,The Young Poisoner's Handbook,1995,115033,young_poisoners_handbook
118,If Lucy Fell,1996,116606,if_lucy_fell
119,Steal Big Steal Little,1995,114536,steal_big_steal_little
120,Race the Sun,1996,117427,race_the_sun
121,The Boys of St. Vincent,1992,106473,the-boys-of-st-vincent
122,Boomerang,1992,103859,1039796-boomerang
123,Chung Hing sam lam,1994,109424,chungking_express
124,L'uomo delle stelle,1995,114808,star_maker
125,Flirting with Disaster,1996,116324,flirting_with_disaster
126,The Neverending Story III,1994,110647,neverending_story_3_the_escape_from_fantasia
128,Jupiter's Wife,1995,110217,jupiters_wife
129,Pie in the Sky,1996,114131,pie_in_the_sky
130,Angela's Ashes,1999,145653,angelas_ashes
131,Frankie Starlight,1995,113107,frankie_starlight
132,The Curse of the Jade Scorpion,2001,256524,curse_of_the_jade_scorpion
134,Sonic Outlaws,1995,114500,sonic_outlaws
135,Down Periscope,1996,116130,down_periscope
136,From the Journals of Jean Seberg,1995,113125,from_the_journals_of_jean_seberg
137,Man of the Year,2006,483726,man_of_the_year
139,Hard Target,1993,107076,hard_target
140,Up Close & Personal,1996,118055,up_close_and_personal
141,The Birdcage,1996,115685,birdcage
143,Gospa,1995,113200,
144,The Brothers McMullen,1995,112585,brothers_mcmullen
145,Bad Boys,1995,112442,1062483-bad_boys
146,The Amazing Panda Adventure,1995,112342,amazing_panda_adventure
147,The Basketball Diaries,1995,112461,basketball_diaries
148,An Awfully Big Adventure,1995,112427,awfully_big_adventure
149,The Moguls,2005,405163,the-amateurs
150,Apollo 13,1995,112384,apollo_13
151,Rob Roy,1995,114287,1061000-rob_roy
152,Basic Instinct 2,2006,430912,basic_instinct_2
153,Batman Forever,1995,112462,batman_forever
154,Belle de jour,1967,61395,belle_de_jour
155,Beyond Rangoon,1995,112495,beyond_rangoon
156,Blue in the Face,1995,112541,blue_in_the_face
157,Canadian Bacon,1995,109370,canadian_bacon
158,Casper,1995,112642,casper
159,Clockers,1995,112688,clockers
160,Congo,1995,112715,congo
161,Crimson Tide,1995,112740,crimson_tide
162,Crumb,1994,109508,crumb
163,Desperado,1995,112851,desperado
164,Devil in a Blue Dress,1995,112857,devil_in_a_blue_dress
165,Die Hard: With a Vengeance,1995,112864,die_hard_with_a_vengeance
166,The Doom Generation,1995,112887,doom_generation
167,Feast of July,1995,113044,feast_of_july
168,First Knight,1995,113071,first_knight
169,Free Willy 2: The Adventure Home,1995,113114,free_willy_2_the_adventure_home
170,Hackers,1995,113243,hackers
171,Jeffrey,1995,113464,jeffrey
172,Johnny Mnemonic,1995,113481,johnny_mnemonic
173,Judge Dredd,1995,113492,judge_dredd
174,Jury Duty,1995,113500,jury_duty
175,Kids,1995,113540,kids
176,Living in Oblivion,1995,113677,living_in_oblivion
177,Lord of Illusions,1995,113690,lord_of_illusions
178,Love & Human Remains,1993,107447,love-and-human-remains
179,Mad Love,1995,113729,bad_love
180,Mallrats,1995,113749,mallrats
181,Mighty Morphin Power Rangers: The Movie,1995,113820,mighty_morphin_power_rangers_the_movie
182,Moonlight and Valentino,1995,113851,moonlight_and_valentino
183,Mute Witness,1994,110604,mute_witness
184,Nadja,1994,110620,the-case-of-the-white-chapel-vampire-the-royal-scandal2001
185,The Net,1995,113957,net
186,Nine Months,1995,113986,nine_months
187,Party Girl,1995,114095,1066050-party_girl
188,The Prophecy,1995,114194,1065632-prophecy
189,The Reckless Moment,1949,41786,reckless_moment
190,Fail-Safe,1964,58083,failsafe
191,The Scarlet Letter,1995,114345,1066120-scarlet_letter
193,Showgirls,1995,114436,showgirls
194,Smoke,1995,114478,1062983-smoke
195,Something to Talk About,1995,114496,something_to_talk_about
196,Species,1995,114508,species
197,The Stars Fell on Henrietta,1995,114534,stars_fell_on_henrietta
198,Strange Days,1995,114558,strange_days
199,Les parapluies de Cherbourg,1964,58450,umbrellas_of_cherbourg
200,The Tie That Binds,1995,114666,tie_that_binds
201,Three Wishes,1995,114663,three_wishes
202,Total Eclipse,1995,114702,total_eclipse
203,"To Wong Foo Thanks for Everything, Julie Newmar",1995,114682,to_wong_foo_thanks_for_everything_julie_newmar
204,Under Siege 2: Dark Territory,1995,114781,under_siege_2_dark_territory
205,Unstrung Heroes,1995,114798,unstrung_heroes
206,Unzipped,1995,114805,unzipped
207,A Walk in the Clouds,1995,114887,walk_in_the_clouds
208,Waterworld,1995,114898,waterworld
209,White Man's Burden,1995,114928,1067214-white_mans_burden
210,Wild Bill,1995,114938,
211,The Browning Version,1951,43362,1043923-browning_version
212,Bushwhacked,1995,112602,bushwhacked
213,Utomlyonnye solntsem,1994,111579,burnt_by_the_sun
214,Before the Rain,1994,110882,before_the_rain
215,Before Sunrise,1995,112471,before_sunrise
216,Billy Madison,1995,112508,billy_madison
217,The Babysitters,2007,796302,babysitters
218,Boys on the Side,1995,112571,boys_on_the_side
219,The Cure,1995,112757,1061860-cure
220,Castle Freak,1995,112643,castle_freak
222,Circle of Friends,1995,112679,1059480-circle_of_friends
223,Clerks.,1994,109445,clerks
224,Don Juan DeMarco,1994,112883,don-juan-demarco
225,Disclosure,1994,109635,disclosure
226,Tucker: The Man and His Dream,1988,96316,tucker_the_man_and_his_dream
227,Drop Zone,1994,109676,drop_zone
228,Destiny Turns on the Radio,1995,112854,destiny_turns_on_the_radio
229,Death and the Maiden,1994,109579,death_and_the_maiden
230,Dolores Claiborne,1995,109642,dolores_claiborne
231,Dumb & Dumber,1994,109686,dumb_and_dumber
232,Yin shi nan nu,1994,111797,eat_drink_man_woman
233,Exotica,1994,109759,exotica
234,Exit to Eden,1994,109758,exit_to_eden
235,Ed Wood,1994,109707,ed_wood
236,French Kiss,1995,113117,french_kiss
237,Forget Paris,1995,113097,forget_paris
238,Far from Home: The Adventures of Yellow Dog,1995,113028,far_from_home_the_adventures_of_yellow_dog
239,A Goofy Movie,1995,113198,goofy_movie
240,Hideaway,1995,113303,1060518-hideaway
241,Fluke,1995,113089,fluke
242,Farinelli,1994,109771,farinelli
243,Flash Gordon,1980,80745,1007517-flash_gordon
244,Gumby: The Movie,1995,113234,gumby_the_movie
245,The Glass Shield,1994,109906,glass_shield
246,Hoop Dreams,1994,110057,hoop_dreams
247,Heavenly Creatures,1994,110005,heavenly_creatures
248,Houseguest,1995,110066,houseguest
249,Immortal Beloved,1994,110116,immortal_beloved
250,Heavy Weights,1995,110006,1059860-heavyweights
251,The Hunted,2003,269347,1120843-hunted
252,I.Q.,1994,110099,iq
253,Interview with the Vampire: The Vampire Chronicles,1994,110148,interview_with_the_vampire
254,Jefferson in Paris,1995,113463,jefferson_in_paris
255,The Jerky Boys,1995,110189,jerky_boys_the_the_movie
256,Junior,1994,110216,1058426-junior
257,Just Cause,1995,113501,just_cause
258,A Kid in King Arthur's Court,1995,113538,kid_in_king_arthurs_court
259,Kiss of Death,1995,113552,1060720-kiss_of_death
260,Star Wars,1977,76759,star_wars
261,Little Women,1994,110367,1190049-little_women
262,A Little Princess,1995,113670,1061812-little_princess
263,Ladybird Ladybird,1994,110296,ladybird_ladybird
264,L'enfer,1994,109731,1059177-lenfer
265,Como agua para chocolate,1992,103994,like_water_for_chocolate
266,Legends of the Fall,1994,110322,chris-smither-one-more-night2007
267,Major Payne,1995,110443,major_payne
268,Little Odessa,1994,110365,little_odessa
269,Mi vida loca,1993,107566,mi_vida_loca_my_crazy_life
270,Love Affair,1994,110391,1056341-love_affair
271,Losing Isaiah,1995,113691,losing_isaiah
272,The Madness of King George,1994,110428,madness_of_king_george
273,Frankenstein,1931,21884,1007818-frankenstein
274,Man of the House,2005,331933,man_of_the_house
275,Mixed Nuts,1994,110538,mixed_nuts
276,Milk Money,1994,110516,1055255-milk_money
277,Miracle on 34th Street,1947,39628,1013970-miracle_on_34th_street
278,Miami Rhapsody,1995,113808,miami_rhapsody
279,My Family,1995,113896,my_family
280,Murder in the First,1995,113870,murder_in_the_first
281,Nobody's Fool,1986,91642,1015224-nobodys_fool
282,Nell,1994,110638,nell
283,New Jersey Drive,1995,113967,new_jersey_drive
284,Nyû Yôku no koppu,1993,117169,new_york_cop
285,Beyond Bedlam,1994,106402,nightscare
286,Nemesis 2: Nebula,1995,113948,nemesis_2
287,Nina Takes a Lover,1994,110671,nina_takes_a_lover
288,Natural Born Killers,1994,110632,natural_born_killers
289,Only You,1994,110737,1055875-only_you
290,Once Were Warriors,1994,110729,once_were_warriors
291,Poison Ivy II,1996,114151,poison_ivy_2_lily
292,Outbreak,1995,114069,outbreak
293,Léon,1994,110413,professional
294,The Perez Family,1995,114113,perez_family
295,A Pyromaniac's Love Story,1995,114210,pyromaniacs_love_story
296,Pulp Fiction,1994,110912,pulp_fiction
297,The Pink Panther 2,2009,838232,pink_panther_2
298,Tui shou,1992,105652,pushing_hands
299,Priest,1994,110889,1063814-1063814-priest
300,Quiz Show,1994,110932,quiz_show
301,Picture Bride,1994,114129,picture_bride
302,La reine Margot,1994,110963,queen_margot
303,The Quick and the Dead,1995,114214,1059629-quick_and_the_dead
304,Roommates,1995,114296,roommates
305,Prêt-à-Porter,1994,110907,ready_to_wear
306,Trois couleurs: Rouge,1994,111495,1058966-red
307,Trois couleurs: Bleu,1993,108394,1049109-blue
308,Trzy kolory: Bialy,1994,111507,white
309,Pao Da Shuang Deng,1994,110769,red_firecracker_green_firecracker
310,Rent-a-Kid,1995,114268,rentakid
312,Stuart Saves His Family,1995,114571,stuart_saves_his_family
313,The Swan Princess,1994,111333,swan_princess
314,The Secret of Roan Inish,1994,111112,the-secret-of-roan-inish
315,The Specialist,1994,111255,1056079-specialist
316,Stargate,1994,111282,stargate
317,Santa Claus,1985,89961,santa_claus_the_movie
318,The Shawshank Redemption,1994,111161,shawshank_redemption
319,Shallow Grave,1994,111149,1058923-shallow_grave
320,Suture,1993,108260,suture
321,Fresa y chocolate,1994,106966,strawberry_and_chocolate
322,Swimming with Sharks,1994,114594,swimming_with_sharks
324,The Sum of Us,1994,111309,sum_of_us
325,Senior Trip,1995,113936,national_lampoons_senior_trip
326,Huozhe,1994,110081,huozhe-to-live-lifetimes-living
327,Tank Girl,1995,114614,tank_girl
328,Tales from the Crypt: Demon Knight,1995,114608,tales_from_the_crypt_presents_demon_knight
329,Star Trek: Generations,1994,111280,star_trek_generations
330,Tales from the Hood,1995,114609,tales_from_the_hood
331,Tom & Viv,1994,111454,tom_and_viv
332,Village of the Damned,1995,114852,1061401-village_of_the_damned
333,Tommy Boy,1995,114694,tommy_boy
334,Vanya on 42nd Street,1994,111590,vanya_on_42nd_street
335,Underneath,1995,114788,underneath
336,Incubo sulla città contaminata,1980,80931,nightmare_city
337,What's Eating Gilbert Grape,1993,108550,whats_eating_gilbert_grape
338,Virtuosity,1995,114857,virtuosity
339,While You Were Sleeping,1995,114924,while_you_were_sleeping
340,War,2007,499556,the-secret-war
341,Double Happiness,1994,109655,double_happiness
342,Muriel's Wedding,1994,110598,muriels_wedding
343,The Baby-Sitters Club,1995,112435,babysitters_club_the_movie
344,Ace Ventura: Pet Detective,1994,109040,ace_ventura_pet_detective
345,"The Adventures of Priscilla, Queen of the Desert",1994,109045,adventures_of_priscilla_queen_of_the_desert
346,Backbeat,1994,106339,backbeat
347,Bitter Moon,1992,104779,bitter-moon
348,Bullets Over Broadway,1994,109348,bullets_over_broadway
349,Clear and Present Danger,1994,109444,clear_and_present_danger
350,The Client,1994,109446,client
351,"Corrina, Corrina",1994,109484,corrina_corrina
352,Crooklyn,1994,109504,crooklyn
353,The Crow,1994,109506,crow
354,Cobb,1994,109450,cobb
355,The Flintstones,1994,109813,1051663-flintstones
356,Forrest Gump,1994,109830,forrest_gump
357,Four Weddings and a Funeral,1994,109831,four_weddings_and_a_funeral
358,Higher Learning,1995,113305,higher_learning
359,I Like It Like That,1994,110091,i_like_it_like_that
360,I Love Trouble,1994,110093,
361,It Could Happen to You,1994,110167,1054344-it_could_happen_to_you
362,The Jungle Book,1967,61852,1031385-jungle_book
363,Die Macht der Bilder: Leni Riefenstahl,1993,107472,wonderful_horrible_life_of_leni_riefenstahl
364,The Lion King,1994,110357,lion_king
365,Little Buddha,1993,107426,little_buddha
366,New Nightmare,1994,111686,wes_cravens_new_nightmare
367,The Mask,1994,110475,1053779-mask
368,Maverick,1994,110478,maverick
369,Mrs. Parker and the Vicious Circle,1994,110588,mrs_parker_and_the_vicious_circle
370,Naked Gun 33 1/3: The Final Insult,1994,110622,naked_gun_33_13_the_final_insult
371,The Paper,1994,110771,paper
372,Reality Bites,1994,110950,reality_bites
373,Red Rock West,1993,105226,red_rock_west
374,Ri¢hie Ri¢h,1994,110989,richie_rich
375,Safe Passage,1994,111054,safe_passage
376,The River Wild,1994,110997,river_wild
377,Speed,1994,111257,1052692-1052692-speed
378,Speechless,1994,111256,speechless
379,Timecop,1994,111438,timecop
380,True Lies,1994,111503,true_lies
381,When a Man Loves a Woman,1994,111693,when_a_man_loves_a_woman
382,Wolf,1994,111742,1053942-wolf
383,Wyatt Earp,1994,111756,1052698-wyatt_earp
384,Bad Company,2002,280486,1114548-bad_company
385,A Man of No Importance,1994,110455,man_of_no_importance
386,S.F.W.,1994,111048,sfw
387,A Low Down Dirty Shame,1994,110399,low_down_dirty_shame
388,This Boy's Life,1993,108330,this_boys_life
389,Le colonel Chabert,1994,109454,1058427-colonel_chabert
390,"Faster, Pussycat! Kill! Kill!",1965,59170,faster_pussycat_kill_kill
391,Jason's Lyric,1994,110186,jasons_lyric
392,The Secret Adventures of Tom Thumb,1993,108069,secret_adventures_of_tom_thumb
393,Street Fighter,1994,111301,1058516-street_fighter
394,In Cold Blood,1967,61809,1010448-in_cold_blood
395,Desert Winds,1995,112849,desert_winds
396,Fall Time,1995,113014,fall_time
397,Cape Fear,1991,101540,1037581-cape_fear
398,Frank and Ollie,1995,113104,frank-and-ollie
401,Mirage,1965,59448,1013976-mirage
402,Open Season,2006,400717,open_season
404,Brother Minister: The Assassination of Malcolm X,1994,109339,brother_minister
405,Highlander III: The Sorcerer,1994,110027,highlander1994
406,Federal Hill,1994,109785,federal_hill
407,In the Mouth of Madness,1995,113409,in_the_mouth_of_madness
408,8 Seconds,1994,109021,8_seconds
409,Above the Rim,1994,109035,above_the_rim
410,Addams Family Values,1993,106220,addams_family_values
412,The Age of Innocence,1993,106226,
413,Airheads,1994,109068,airheads
414,The Air Up There,1994,109067,air_up_there
415,Another Stakeout,1993,106292,another_stakeout
416,Bad Girls,1994,109198,1051219-bad_girls
417,Vicky Cristina Barcelona,2008,497465,vicky_cristina_barcelona
418,Being Human,2008,1349938,
419,The Beverly Hillbillies,1993,106400,1046435-beverly_hillbillies
420,Beverly Hills Cop III,1994,109254,beverly_hills_cop_3
421,Black Beauty,1994,109279,1126533-black_friday
423,Blown Away,1994,109303,1052838-blown_away
424,Blue Chips,1994,109305,blue_chips
425,Blue Sky,1994,109306,blue-sky
426,Invasion of the Body Snatchers,1956,49366,1010678-invasion_of_the_body_snatchers
427,Boxing Helena,1993,106471,boxing_helena
428,A Bronx Tale,1993,106489,bronx_tale
429,Cabin Boy,1994,109361,cabin_boy
430,Calendar Girls,2003,337909,calendar_girls
431,Carlito's Way,1993,106519,carlitos_way
432,City Slickers II: The Legend of Curly's Gold,1994,109439,city_slickers_ii_the_legend_of_curlys_gold
433,Clean Slate,1994,109443,1050560-clean_slate
434,Cliffhanger,1993,106582,1044214-cliffhanger
435,Coneheads,1993,106598,coneheads
436,Color of Night,1994,109456,color_of_night
437,Cops and Robbersons,1994,109480,cops_and_robbersons
438,The Cowboy Way,1994,109493,cowboy_way
440,Dave,1993,106673,dave
441,Dazed and Confused,1993,106677,dazed_and_confused
442,Demolition Man,1993,106697,demolition_man
443,The Endless Summer 2,1994,109729,endless_summer_ii_the_the_journey_continues
444,Even Cowgirls Get the Blues,1993,106834,even_cowgirls_get_the_blues
445,Fatal Instinct,1993,106873,1046049-fatal_instinct
446,Ba wang bie ji,1993,106332,farewell_to_my_concubine
447,The Favor,1994,109783,favor
448,Huo Yuan Jia,2006,446059,fearless-a-chinese-hero
449,Fear of a Black Hat,1994,106880,fear_of_a_black_hat
450,With Honors,1994,111732,with_honors
451,Flesh and Bone,1993,106926,flesh_and_bone
452,Widows' Peak,1994,111712,widows_peak
453,For Love or Money,1993,106941,
454,The Firm,1993,106918,1044522-firm
455,Free Willy,1993,106965,free_willy
456,Fresh,1994,109842,fresh
457,The Fugitive,1993,106977,1046129-fugitive
458,Geronimo: An American Legend,1993,107004,geronimo_an_american_legend
459,A Perfect Getaway,2009,971209,a_perfect_getaway
460,Getting Even with Dad,1994,109891,getting_even_with_dad
461,Go Fish,1994,109913,1062542-go_fish
462,A Good Man in Africa,1994,109920,good_man_in_africa
463,Guilty as Sin,1993,107057,guilty_as_sin
464,Hard Target,1993,107076,hard_target
465,Heaven & Earth,1993,107096,1048333-heaven_and_earth
466,Hot Shots! Part Deux,1993,107144,hot_shots_part_deux
467,Live Nude Girls,1995,113674,live_nude_girls
468,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,112966,englishman_who_went_up_a_hill_but_came_down_a_mountain
469,The House of the Spirits,1993,107151,house_of_the_spirits
470,House Party 3,1994,110064,house_party_3
471,The Hudsucker Proxy,1994,110074,hudsucker_proxy
472,I'll Do Anything,1994,110097,ill_do_anything
473,In the Army Now,1994,110123,in_the_army_now
474,In the Line of Fire,1993,107206,in_the_line_of_fire
475,In the Name of the Father,1993,107207,in_the_name_of_the_father
476,The Inkwell,1994,110137,inkwell
477,What's Love Got to Do with It,1993,108551,whats_love_got_to_do_with_it
478,Jimmy Hollywood,1994,110197,jimmy_hollywood
479,Judgment Night,1993,107286,judgment_night
480,Jurassic Park,1993,107290,jurassic_park
481,Kalifornia,1993,107302,kalifornia
482,Killing Zoe,1993,110265,killing_zoe
483,King of the Hill,1993,107322,1046045-king_of_the_hill
484,Lassie,1994,110305,1053155-lassie
485,Last Action Hero,1993,107362,last_action_hero
486,Life with Mikey,1993,107413,life_with_mikey
487,Lightning Jack,1994,110353,lightning_jack
488,M. Butterfly,1993,107468,the-thistle-and-the-lotus
489,Made in America,1993,107478,1043960-made_in_america
490,Malice,1993,107497,malice
491,The Man Without a Face,1993,107501,man_without_a_face
492,Manhattan Murder Mystery,1993,107507,manhattan_murder_mystery
493,Menace II Society,1993,107554,menace_ii_society
494,Executive Decision,1996,116253,executive_decision
495,Ai no korîda,1976,74102,in_the_realm_of_the_senses
496,What Happened Was...,1994,111689,what_happened_was
497,Much Ado About Nothing,1993,107616,1045992-much_ado_about_nothing
498,Mr. Jones,1993,107611,mr_jones
499,Mr. Wonderful,1993,107613,mr_wonderful
500,Mrs. Doubtfire,1993,107614,mrs_doubtfire
501,Naked,1993,107653,1048185-naked
502,The Next Karate Kid,1994,110657,next_karate_kid
503,The New Age,1994,110649,new_age
504,No Escape,1994,110678,no_escape
505,North,1994,110687,north
506,Orlando,1992,107756,orlando
507,A Perfect World,1993,107808,perfect_world
508,Philadelphia,1993,107818,philadelphia
509,The Piano,1993,107822,piano
510,Poetic Justice,1993,107840,poetic_justice
511,The Program,1993,107889,program
512,The Puppet Masters,1994,111003,puppet_masters
513,Radioland Murders,1994,110939,radioland_murders
514,The Ref,1994,110955,ref
515,The Remains of the Day,1993,107943,remains_of_the_day
516,Renaissance Man,1994,110971,renaissance_man
517,Rising Sun,1993,107969,rising_sun
518,The Road to Wellville,1994,111001,road_to_wellville
519,RoboCop 3,1993,107978,robocop_3
520,Robin Hood: Men in Tights,1993,107977,robin_hood_men_in_tights
521,Romeo Is Bleeding,1993,107983,romeo_is_bleeding
522,Romper Stomper,1992,105275,romper_stomper
523,Ruby in Paradise,1993,108000,ruby_in_paradise
524,Rudy,1993,108002,rudy
525,The Saint of Fort Washington,1993,108026,saint_of_fort_washington
526,Les nuits fauves,1992,105032,les-nuits-fauves-savage-nights
527,Schindler's List,1993,108052,schindlers_list
528,The Last Boy Scout,1991,102266,last_boy_scout
529,Searching for Bobby Fischer,1993,108065,searching_for_bobby_fischer
530,Second Best,2004,328390,10003765-second_best
531,The Secret Garden,1993,108071,1045518-secret_garden
532,Serial Mom,1994,111127,serial_mom
533,Kagemusha,1980,80979,kagemusha
534,Shadowlands,1993,108101,1048267-shadowlands
535,Short Cuts,1993,108122,short_cuts
536,A Simple Twist of Fate,1994,111194,simple_twist_of_fate
537,Sairen,2006,494815,sairenforbidden-siren
538,Six Degrees of Separation,1993,108149,six_degrees_of_separation
539,Sleepless in Seattle,1993,108160,sleepless_in_seattle
540,Sliver,1993,108162,sliver
541,Blade Runner,1982,83658,replikator-cloned-to-kill
542,Son in Law,1993,108186,son_in_law_1993
543,So I Married an Axe Murderer,1993,108174,so_i_married_an_axe_murderer
544,Striking Distance,1993,108238,striking_distance
545,Harem suaré,1999,179841,1121056-harem
546,Super Mario Bros.,1993,108255,
547,Surviving the Game,1994,111323,surviving_the_game
548,Terminal Velocity,1994,111400,terminal_velocity
549,Thirty Two Short Films About Glenn Gould,1993,108328,thirty-two-short-films-about-glenn-gould
550,Threesome,1994,111418,threesome
551,The Nightmare Before Christmas,1993,107688,nightmare_before_christmas
552,The Three Musketeers,1993,108333,1046772-three_musketeers
553,Tombstone,1993,108358,tombstone
554,Law & Order: Trial by Jury,2005,406429,
555,True Romance,1993,108399,true_romance
556,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,57012,dr_strangelove
558,The Pagemaster,1994,110763,pagemaster
559,2 Days in Paris,2007,841044,two_days_in_paris
560,"The Beans of Egypt, Maine",1994,109226,forbidden_choices
561,Killer Movie,2008,988083,killer_movie
562,Welcome to the Dollhouse,1995,114906,welcome_to_the_dollhouse
563,Germinal,1993,107002,germinal
564,Chugyeogja,2008,1190539,chaser
565,Cronos,1993,104029,cronos
566,Naked in New York,1993,110623,naked_in_new_york
567,Kika,1993,107315,kika
568,Bhaji on the Beach,1993,106408,bhaji_on_the_beach
569,Little Big League,1994,110363,little_big_league
570,Kådisbellan,1993,107349,kadisbellan-slingshot
571,Wide-Eyed and Legless,1993,111709,wedding_gift
572,Foreign Student,1994,109828,foreign_student
573,Io speriamo che me la cavo,1992,107225,ciao_professore
